cluster_label,author_label,analysis_cell_type,source_evidence
1,Rods,Rod photoreceptors,"Voigt et al. 2019, Fig. 1F and Results 3.2; local PDF p. 38"
2,Rods,Rod photoreceptors,"Voigt et al. 2019, Fig. 1F and Results 3.2; local PDF p. 38"
3,Cones,Cone photoreceptors,"Voigt et al. 2019, Fig. 1F and Results 3.2; local PDF p. 38"
4,Cones,Cone photoreceptors,"Voigt et al. 2019, Fig. 1F and Results 3.2; local PDF p. 38"
5,Bipolar cells,Bipolar cells,"Voigt et al. 2019, Fig. 1F and Results 3.2; local PDF p. 38"
6,Bipolar cells,Bipolar cells,"Voigt et al. 2019, Fig. 1F and Results 3.2; local PDF p. 38"
7,Retinal ganglion cells,Retinal ganglion cells,"Voigt et al. 2019, Fig. 1F and Results 3.2; local PDF p. 38"
8A,Horizontal cells,Horizontal cells,"Voigt et al. 2019, Fig. 1F and Supplementary Fig. 3; local PDF p. 38"
8B,Amacrine cells,Amacrine cells,"Voigt et al. 2019, Fig. 1F and Supplementary Fig. 3; local PDF p. 38"
9,Unknown,Unknown - excluded,"Voigt et al. 2019, Fig. 1F and Results 3.2; local PDF p. 38"
10,Pericytes,Pericytes,"Voigt et al. 2019, Fig. 1F and Results 3.2; local PDF p. 38"
11,Endothelial cells,Endothelial cells,"Voigt et al. 2019, Fig. 1F and Results 3.2; local PDF p. 38"
12,Microglia,Microglia,"Voigt et al. 2019, Fig. 1F and Results 3.2; local PDF p. 38"
13,Glial cells,Müller-enriched glia,"Voigt et al. 2019, Fig. 1F and Discussion; local PDF p. 38"
14,Glial cells,Müller-enriched glia,"Voigt et al. 2019, Fig. 1F and Discussion; local PDF p. 38"
15,Glial cells,Müller-enriched glia,"Voigt et al. 2019, Fig. 1F and Discussion; local PDF p. 38"
16,Glial cells,Müller-enriched glia,"Voigt et al. 2019, Fig. 1F and Discussion; local PDF p. 38"
17,Glial cells,Müller-enriched glia,"Voigt et al. 2019, Fig. 1F and Discussion; local PDF p. 38"
