gene,baseMean,log2FC,lfcSE,stat,pvalue,padj,gene_symbol,significant,significance_rule,deseq_design_formula,deseq_covariates
ENSG00000201098,86.92361388340673,0.8602098894253611,0.15954668031682775,5.391587513555009,6.983793273659606e-08,0.0013742708403907374,RNY1,1,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000050405,1342.649289172752,0.4629242433369813,0.08924676766371172,5.187014112167214,2.1369254347870664e-07,0.0017031975805768564,LIMA1,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000168003,1481.5050777674342,-0.436850961875521,0.08481561615408434,-5.150595865293189,2.59660165755187e-07,0.0017031975805768564,SLC3A2,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000263155,30.032731156472163,-1.7020052710282354,0.3655431169638434,-4.656099901879931,3.222556097534555e-06,0.015853364721821243,MYZAP,1,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000203930,561.5274245269785,-0.4161598932891565,0.09235172339949989,-4.506249347279751,6.598354531792701e-06,0.023804181024054485,LINC00632,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000197061,1665.1238523779848,0.4750937395055407,0.10590645105253513,4.4859754508237595,7.2581098762235445e-06,0.023804181024054485,H4C3,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000196136,62.467013968400884,-2.0920218742737777,0.4765637090163204,-4.389805255192301,1.1345221746220972e-05,0.0318930390745909,SERPINA3,1,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000168263,12615.299853092538,0.5664588035318576,0.13063998068465935,4.336029449508141,1.4507951519397659e-05,0.03568593374983839,KCNV2,1,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000051108,1310.4752142589548,-0.3128137769693481,0.07299376524241016,-4.28548624571568,1.8233992973114784e-05,0.03986761263610586,HERPUD1,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000178852,173.12567387038288,0.7689239698105745,0.18135635348235896,4.23985129302553,2.2366790949971445e-05,0.04401337123135381,EFCAB13,1,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
