gene,baseMean,log2FC,lfcSE,stat,pvalue,padj,gene_symbol,significant,significance_rule,deseq_design_formula,deseq_covariates
ENSG00000151023,44.03380399490601,0.903864170044308,0.17893710073942684,5.0512954904781875,4.388236038595138e-07,0.01097585597973416,ENKUR,1,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000227827,205.70273452955243,3.754119472505922,0.8085808248089924,4.6428499876839675,3.436358548647109e-06,0.03802142580951816,PKD1P2,1,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000173376,3687.4825302369895,0.5157124788801266,0.11250130513832844,4.584057742672594,4.56038211372759e-06,0.03802142580951816,NDNF,1,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000138696,452.78674052618226,0.5990006294137282,0.1381643291238086,4.335421691057217,1.4548095945673058e-05,0.09096924394829363,BMPR1B,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000258525,30.29204945224068,1.1059610215386602,0.2597731341777354,4.2574110869446855,2.0680786773258155e-05,0.10345356775454659,COCH-AS1,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000239883,1158.1513491387832,0.40964813631178637,0.0976072819791815,4.196901378722538,2.705916921874096e-05,0.10747450171637711,PARGP1,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000233273,43.52374745918107,-0.7201002930635726,0.1744929965267969,-4.126814871638627,3.678222625810665e-05,0.10747450171637711,AMMECR1LP1,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000153404,56.85621382974262,-0.8445251500110262,0.20506126339156905,-4.118404110279895,3.815052553762454e-05,0.10747450171637711,PLEKHG4B,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000168843,8953.285053395128,0.38015148243708574,0.09237577823689556,4.115272311559812,3.86722579340874e-05,0.10747450171637711,FSTL5,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000130766,575.5774516465611,-0.7620941730513088,0.1864876396415178,-4.08656667281687,4.378037142838026e-05,0.10950346501666469,SESN2,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000050405,1337.2265194162967,0.35770238089659373,0.08825814110954837,4.052910886176539,5.0584274451880014e-05,0.11501944296276573,LIMA1,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
ENSG00000135069,181.98481286234866,-0.9275480630799521,0.23056864815524108,-4.022871585105696,5.7492846758689395e-05,0.1198342569273616,PSAT1,0,"deseq2(padj<0.05,|log2FC|>=0.5)",~age + sex + post_mortem_interval_min + rin + condition,age;sex;post_mortem_interval_min;rin
