contrast,covariate,column,kind,status,reason
NPDR/PDR + DME vs healthy control,age,age,continuous,included,complete and variable; z-scored within contrast
NPDR/PDR + DME vs healthy control,sex,sex,categorical,included,complete and variable
NPDR/PDR + DME vs healthy control,PMI,post_mortem_interval_min,continuous,included,complete and variable; z-scored within contrast
NPDR/PDR + DME vs healthy control,RIN,rin,continuous,included,complete and variable; z-scored within contrast
NPDR/PDR + DME vs healthy control,batch,batch,categorical,excluded,missing values in 20 samples
diabetic vs healthy control,age,age,continuous,included,complete and variable; z-scored within contrast
diabetic vs healthy control,sex,sex,categorical,included,complete and variable
diabetic vs healthy control,PMI,post_mortem_interval_min,continuous,included,complete and variable; z-scored within contrast
diabetic vs healthy control,RIN,rin,continuous,included,complete and variable; z-scored within contrast
diabetic vs healthy control,batch,batch,categorical,excluded,missing values in 20 samples
NPDR vs healthy control,age,age,continuous,included,complete and variable; z-scored within contrast
NPDR vs healthy control,sex,sex,categorical,included,complete and variable
NPDR vs healthy control,PMI,post_mortem_interval_min,continuous,included,complete and variable; z-scored within contrast
NPDR vs healthy control,RIN,rin,continuous,included,complete and variable; z-scored within contrast
NPDR vs healthy control,batch,batch,categorical,excluded,missing values in 19 samples
NPDR/PDR + DME vs diabetic,age,age,continuous,included,complete and variable; z-scored within contrast
NPDR/PDR + DME vs diabetic,sex,sex,categorical,included,complete and variable
NPDR/PDR + DME vs diabetic,PMI,post_mortem_interval_min,continuous,included,complete and variable; z-scored within contrast
NPDR/PDR + DME vs diabetic,RIN,rin,continuous,included,complete and variable; z-scored within contrast
NPDR/PDR + DME vs diabetic,batch,batch,categorical,excluded,missing values in 20 samples
