gene_symbol,cell_type,rho,pvalue,padj,significant
CMKLR1,Macrophage,0.711740890688259,7.125113832273655e-10,1.3965223111256364e-07,1
CMKLR1,Immature_B_cell,0.7022267206477731,1.977309427303453e-09,1.937763238757384e-07,1
CMKLR1,T_follicular_helper_cell,0.697570850202429,3.1818143675366173e-09,2.07878538679059e-07,1
TIMP1,Regulatory_T_cell,0.6921052631578946,5.458785867773486e-09,2.674805075209008e-07,1
TIMP1,MDSC,0.6886639676113359,7.592692474744922e-09,2.9763354501000097e-07,1
FZD5,Macrophage,0.6860323886639674,9.723405636208327e-09,3.1763125078280535e-07,1
TIMP1,Immature_B_cell,0.6761133603238865,2.3807900983996433e-08,6.666212275519001e-07,1
TLR3,Macrophage,0.6564777327935222,1.1993567095025526e-07,2.695112158335178e-06,1
TIMP1,Central_memory_CD4_T_cell,0.656072874493927,1.2375515012763572e-07,2.695112158335178e-06,1
TIMP1,Natural_killer_T_cell,0.6469635627530363,2.457111762943498e-07,4.815939055369256e-06,1
TIMP1,Macrophage,0.6435222672064776,3.154129115667814e-07,5.620084606099014e-06,1
CMKLR1,Regulatory_T_cell,0.6348178137651821,5.805169629446993e-07,9.199309911611664e-06,1
TLR3,Immature_B_cell,0.6334008097165991,6.393175486785196e-07,9.199309911611664e-06,1
CMKLR1,MDSC,0.6329959514170039,6.570935651151188e-07,9.199309911611664e-06,1
TIMP1,Natural_killer_cell,0.6125506072874493,2.430419459464872e-06,3.175748093700766e-05,1
LYN,MDSC,0.6022267206477732,4.462083408096618e-06,5.4660521749183566e-05,1
TIMP1,Memory_B_cell,-0.5912955465587043,8.199695862520784e-06,9.453766994435727e-05,1
LYN,Type_1_T_helper_cell,0.5829959514170039,1.2728584076082683e-05,0.00013860013771734478,1
CMKLR1,Natural_killer_cell,0.5775303643724695,1.683672829422278e-05,0.0001666938711554433,1
FZD5,Immature_B_cell,0.577327935222672,1.700957868933095e-05,0.0001666938711554433,1
TIMP1,Mast_cell,0.5700404858299594,2.4404019688173406e-05,0.00022777085042295178,1
LYN,Regulatory_T_cell,0.5651821862348178,3.0824885827840376e-05,0.0002746217101025779,1
LYN,Macrophage,0.5613360323886639,3.6942629031422314e-05,0.00031481544739820754,1
LYN,Memory_B_cell,-0.5587044534412955,4.1734063635168184e-05,0.0003408281863538735,1
LYN,Natural_killer_cell,0.5451417004048582,7.64135771367247e-05,0.0005990824447519216,1
LYN,Mast_cell,0.5277327935222671,0.00015734691422242264,0.00118615366106134,1
TLR3,Memory_B_cell,-0.517408906882591,0.0002352098892517418,0.0017074495664200515,1
NMI,Regulatory_T_cell,0.5111336032388663,0.0002976515695711779,0.002083560986998245,1
TLR3,Activated_CD4_T_cell,0.5058704453441295,0.0003608331676079324,0.0024387345121087843,1
LYN,Natural_killer_T_cell,0.5028340080971659,0.00040240615435749305,0.002629053541802288,1
MSR1,Regulatory_T_cell,0.49777327935222665,0.0004810766116385423,0.0030416456735856225,1
TIMP1,Effector_memory_CD8_T_cell,0.4896761133603238,0.0006350596000905817,0.003889740050554813,1
NMI,Natural_killer_cell,0.4856275303643724,0.0007270443245637193,0.004318202654984515,1
TLR3,Central_memory_CD4_T_cell,0.48441295546558694,0.0007568117946128439,0.004362797404238747,1
CMKLR1,Activated_dendritic_cell,0.47064777327935214,0.0011758794736360656,0.006584925052361967,1
NMI,Memory_B_cell,-0.4550607287449392,0.001880180792755759,0.010236539871670244,1
TIMP1,T_follicular_helper_cell,0.4499999999999999,0.002175798635531301,0.011525852231463107,1
NMI,MDSC,0.44797570850202423,0.0023047415347219324,0.01164937825509862,1
MSR1,T_follicular_helper_cell,0.44777327935222666,0.002317988530351256,0.01164937825509862,1
TLR3,Mast_cell,0.4459514170040485,0.0024401750037985614,0.011731725234147734,1
LYN,CD56bright_natural_killer_cell,-0.44574898785425093,0.0024540853806125362,0.011731725234147734,1
NMI,Macrophage,0.4437246963562752,0.0025969621794903475,0.012119156837621622,1
TIMP1,Type_1_T_helper_cell,0.4380566801619432,0.003035422853213454,0.013746452624411461,1
LYN,Central_memory_CD4_T_cell,0.4374493927125505,0.0030859383442556343,0.013746452624411461,1
LYN,Immature_B_cell,0.4327935222672064,0.0034975683476745623,0.015233853247649205,1
NMI,Central_memory_CD4_T_cell,0.4311740890688258,0.0036512745893517717,0.015557604772020592,1
TLR3,Natural_killer_T_cell,0.4267206477732793,0.004103860230971312,0.017113970324901643,1
MSR1,MDSC,0.42186234817813756,0.004650934763223091,0.018991316949827624,1
CMKLR1,Effector_memory_CD8_T_cell,0.4163967611336032,0.005338845036758411,0.021355380147033642,1
CMKLR1,Type_17_T_helper_cell,0.41518218623481773,0.005502827181588454,0.021571082551826742,1
LYN,T_follicular_helper_cell,0.4044534412955465,0.007144461388363776,0.027457145727829414,1
LYN,Effector_memory_CD4_T_cell,-0.4016194331983805,0.007640761296080045,0.028391474497222867,1
TIMP1,Neutrophil,0.40141700404858294,0.007677286471187816,0.028391474497222867,1
TIMP1,CD56bright_natural_killer_cell,-0.3971659919028339,0.008478676328396606,0.03077445482158768,1
FZD5,Gamma_delta_T_cell,-0.38441295546558696,0.01131170639196366,0.04031080823317959,1
LYN,Neutrophil,0.37206477732793514,0.014759375386338647,0.051657813852185264,0
NMI,Immature_B_cell,0.37024291497975703,0.015334170221381616,0.05181892005846201,0
FZD5,Activated_CD4_T_cell,0.37024291497975703,0.015334170221381616,0.05181892005846201,0
TIMP1,Activated_CD4_T_cell,0.36801619433198374,0.01606145455129937,0.05204175597356089,0
TLR3,MDSC,0.36801619433198374,0.01606145455129937,0.05204175597356089,0
NMI,Neutrophil,0.3676113360323886,0.016196668950955173,0.05204175597356089,0
TLR3,Natural_killer_cell,0.3597165991902833,0.01902482771199354,0.06014300373468926,0
LYN,Activated_CD4_T_cell,0.3522267206477732,0.022066769519470064,0.06865217183835132,0
CMKLR1,Type_1_T_helper_cell,0.34291497975708496,0.026384325941650744,0.0808019981963054,0
CMKLR1,Mast_cell,0.34089068825910923,0.027407095070504095,0.08264293282798157,0
MSR1,Effector_memory_CD8_T_cell,0.33947368421052626,0.028141743199226577,0.08357244950073348,0
MSR1,Neutrophil,0.33542510121457486,0.03032786962050693,0.08872033500924416,0
FZD5,CD56dim_natural_killer_cell,-0.331578947368421,0.03252809602771056,0.09307696036213155,0
CMKLR1,Neutrophil,0.33117408906882584,0.032766889107076924,0.09307696036213155,0
FZD5,Natural_killer_T_cell,0.32712550607287444,0.03523221460845671,0.09865020090367879,0
LYN,Effector_memory_CD8_T_cell,0.3246963562753036,0.03678046142239744,0.10017028236414721,0
TLR3,T_follicular_helper_cell,0.324493927125506,0.03691186940168745,0.10017028236414721,0
TIMP1,Activated_dendritic_cell,0.3238866396761133,0.03730831945195279,0.10017028236414721,0
TLR3,Activated_dendritic_cell,0.3161943319838056,0.0426267006620662,0.1129031531049321,0
MSR1,Immature_B_cell,0.3113360323886639,0.04628040801536004,0.11941342471845615,0
FZD5,Mast_cell,0.3107287449392712,0.04675378742388636,0.11941342471845615,0
MSR1,Activated_B_cell,0.31052631578947365,0.046912416853679195,0.11941342471845615,0
LYN,Eosinophil,0.30485829959514166,0.051526895229912384,0.12947783929567727,0
TLR3,Neutrophil,0.3036437246963562,0.052559987222723814,0.13040199361587174,0
FZD5,Effector_memory_CD4_T_cell,-0.30202429149797566,0.05396231049019029,0.1322076607009662,0
FZD5,Neutrophil,0.2973684210526315,0.058155431760040344,0.13990472399419487,0
