gene_symbol,pathway,ES,NES,pvalue,padj,significant,geneset_size
RGS1,HALLMARK_INFLAMMATORY_RESPONSE,0.583952211813897,2.802551005630949,0.0,0.0,1,200
RGS1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.5415837282520584,2.62948773818753,0.0,0.0,1,200
RGS1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.5357552721368655,2.590893356595239,0.0,0.0,1,200
RGS1,HALLMARK_ALLOGRAFT_REJECTION,0.529566353667948,2.5311904911323095,0.0,0.0,1,200
RGS1,HALLMARK_COAGULATION,0.5488155827417478,2.4605335649372697,0.0,0.0,1,138
RGS1,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.5290145613865558,2.3566481019893297,0.0,0.0,1,97
RGS1,HALLMARK_KRAS_SIGNALING_UP,0.4692416785970231,2.2595500658675003,0.0,0.0,1,200
RGS1,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.5455605317806156,2.23437911475517,0.0,0.0,1,87
RGS1,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.4457780707111058,2.165888174486159,0.0,0.0,1,200
RGS1,HALLMARK_NOTCH_SIGNALING,0.5996044136344745,2.0873248559829247,0.0,0.0,1,32
RGS1,HALLMARK_ANGIOGENESIS,0.5833516242169742,2.048647715082667,0.0,0.0,1,36
RGS1,HALLMARK_HYPOXIA,0.4121923856758514,2.0211460587900945,0.0,0.0,1,200
RGS1,HALLMARK_MTORC1_SIGNALING,-0.36302745191661,-2.0131343738913197,0.0,0.0,1,200
RGS1,HALLMARK_ADIPOGENESIS,-0.3688843441940308,-2.0396921880345342,0.0,0.0,1,200
RGS1,HALLMARK_MYC_TARGETS_V1,-0.42721363680810026,-2.3522388535800727,0.0,0.0,1,200
RGS1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.6117153532126876,-3.43656859090638,0.0,0.0,1,200
RGS1,HALLMARK_APOPTOSIS,0.41358574236140655,1.936702276164345,0.0,0.00014018066313949463,1,161
RGS1,HALLMARK_PROTEIN_SECRETION,-0.37644000552608425,-1.8697210406441784,0.0,0.0004933613872161358,1,96
RGS1,HALLMARK_IL2_STAT5_SIGNALING,0.3849968925692167,1.8575911505106009,0.0,0.0005857549138328882,1,199
RGS1,HALLMARK_COMPLEMENT,0.38267931905186103,1.8416587798792707,0.0,0.0006681944942982578,1,200
RGS1,HALLMARK_TGF_BETA_SIGNALING,0.4420482313133848,1.7724456384994474,0.0014970059880239522,0.001309813071209653,1,54
RGS1,HALLMARK_FATTY_ACID_METABOLISM,-0.3265715287400768,-1.7159421689710108,0.0,0.002466806936080679,1,158
RGS1,HALLMARK_UV_RESPONSE_DN,0.3577703389146654,1.6759669207049064,0.002789400278940028,0.003859091197016676,1,144
RGS1,HALLMARK_HEME_METABOLISM,-0.3014464352334908,-1.6312927981787018,0.0,0.005638415853898695,1,200
RGS1,HALLMARK_MYOGENESIS,0.33000950497747245,1.5828310822204104,0.00258732212160414,0.009567330259270508,1,200
RGS1,HALLMARK_ESTROGEN_RESPONSE_LATE,0.3215473132681928,1.5540860020385332,0.0026595744680851063,0.012133005291205205,1,200
