gene_symbol,pathway,ES,NES,pvalue,padj,significant,geneset_size
LYN,HALLMARK_INFLAMMATORY_RESPONSE,0.5953820659163669,2.6885314934127806,0.0,0.0,1,200
TIMP1,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.6808961094919015,2.633581598402646,0.0,0.0,1,87
TIMP1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.6000082201099273,2.6196058848986934,0.0,0.0,1,200
TIMP1,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.6411054389880473,2.594015758072568,0.0,0.0,1,97
NMI,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.648465609876547,2.550325668855481,0.0,0.0,1,97
LYN,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.54710595146507,2.5425677993516667,0.0,0.0,1,200
TIMP1,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.5774439231043923,2.520364638594646,0.0,0.0,1,200
TIMP1,HALLMARK_INFLAMMATORY_RESPONSE,0.5848301096287426,2.5148405945155634,0.0,0.0,1,200
LYN,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.5419466773796543,2.480315447129263,0.0,0.0,1,200
LYN,HALLMARK_COAGULATION,0.5675169897191343,2.4216221004469367,0.0,0.0,1,138
TLR3,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.5436067313325644,2.3673905081019018,0.0,0.0,1,97
TIMP1,HALLMARK_COAGULATION,0.5723313308231943,2.353319598602035,0.0,0.0,1,138
TIMP1,HALLMARK_ALLOGRAFT_REJECTION,0.5469194343621683,2.3420868549296934,0.0,0.0,1,200
LYN,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.5860028659041764,2.323838896843387,0.0,0.0,1,87
NMI,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.5499211240300065,2.309677732003459,0.0,0.0,1,200
LYN,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.5448428835616329,2.2693765629494305,0.0,0.0,1,97
TIMP1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.5188788079094547,2.254515825194366,0.0,0.0,1,200
LYN,HALLMARK_ALLOGRAFT_REJECTION,0.5034980256118721,2.247390558091522,0.0,0.0,1,200
LYN,HALLMARK_KRAS_SIGNALING_UP,0.48864078680215906,2.2181342512194204,0.0,0.0,1,200
NMI,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.5768843654439492,2.1830187184392162,0.0,0.0,1,87
FZD5,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.5295953568137691,2.112145184542617,0.0,0.0,1,97
MSR1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.5121745559041306,2.1070833542646494,0.0,0.0,1,200
CMKLR1,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.5867342189685194,2.097334437080293,0.0,0.0,1,97
TIMP1,HALLMARK_ANGIOGENESIS,0.6390054050228824,2.0763654106376355,0.0,0.0,1,36
LYN,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.45171505873912626,2.070151669312541,0.0,0.0,1,200
LYN,HALLMARK_APOPTOSIS,0.4634876837954265,2.0603939026295746,0.0,0.0,1,161
LYN,HALLMARK_COMPLEMENT,0.4418556924750191,2.0309881164191728,0.0,0.0,1,200
CMKLR1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.5374915232101779,2.0159181827373778,0.0,0.0,1,200
NMI,HALLMARK_ALLOGRAFT_REJECTION,0.4797784110616561,2.0018481881107633,0.0,0.0,1,200
LYN,HALLMARK_ANGIOGENESIS,0.5932222748656988,1.9842426328847913,0.0,0.0,1,36
NMI,HALLMARK_COAGULATION,0.490585834901498,1.983242081982631,0.0,0.0,1,138
CMKLR1,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.5639695100810742,1.9507012455197525,0.0,0.0,1,87
CMKLR1,HALLMARK_COAGULATION,0.5360463289464988,1.9402585517358457,0.0,0.0,1,138
CMKLR1,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.5093711357701879,1.8991415135273886,0.0,0.0,1,200
CMKLR1,HALLMARK_ALLOGRAFT_REJECTION,0.5058049950633613,1.8736321242282243,0.0,0.0,1,200
NMI,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.4398306367970331,1.8664477114929858,0.0,0.0,1,200
CMKLR1,HALLMARK_ANGIOGENESIS,0.5967954412010964,1.8349167422972505,0.0,0.0,1,36
CMKLR1,HALLMARK_MTORC1_SIGNALING,-0.32900427585449477,-2.0253201981642532,0.0,0.0,1,200
CMKLR1,HALLMARK_PROTEIN_SECRETION,-0.3805479627197772,-2.055471398052986,0.0,0.0,1,96
CMKLR1,HALLMARK_MYC_TARGETS_V1,-0.379205381642273,-2.1590252808199653,0.0,0.0,1,200
TLR3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.39977273332626917,-2.192561079769743,0.0,0.0,1,200
TLR3,HALLMARK_MTORC1_SIGNALING,-0.4343059672586394,-2.4098957863487294,0.0,0.0,1,200
FZD5,HALLMARK_MTORC1_SIGNALING,-0.4323574639380831,-2.4463848765953577,0.0,0.0,1,200
NMI,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.4078442018939139,-2.4543352358702455,0.0,0.0,1,200
FZD5,HALLMARK_HYPOXIA,-0.4550762293276681,-2.520016087444202,0.0,0.0,1,200
TLR3,HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.5409420011437044,-2.559589741555993,0.0,0.0,1,74
LYN,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.5581324774694524,-3.0229169354309517,0.0,0.0,1,200
TIMP1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.5983492157961456,-3.332876792296059,0.0,0.0,1,200
TIMP1,HALLMARK_KRAS_SIGNALING_UP,0.44642866240073975,1.943638811375758,0.0,7.234622619238004e-05,1,200
TIMP1,HALLMARK_COMPLEMENT,0.4440140494453513,1.9481310896408701,0.0,7.892315584623276e-05,1,200
TIMP1,HALLMARK_APOPTOSIS,0.46515681354115956,1.972019311343721,0.0,8.681547143085605e-05,1,161
TIMP1,HALLMARK_IL2_STAT5_SIGNALING,0.4336554016240668,1.8947260284246468,0.0,0.00012402210204408005,1,199
TIMP1,HALLMARK_NOTCH_SIGNALING,0.5709727061860187,1.8986063888671523,0.0,0.00013356226373977852,1,32
MSR1,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.49442904369643165,1.8633994934949745,0.0,0.00016086135895676046,1,97
MSR1,HALLMARK_COMPLEMENT,0.45973933963040403,1.8676998846201578,0.0,0.00019303363074811257,1,200
LYN,HALLMARK_HYPOXIA,0.4142196136878446,1.9093466232973095,0.0,0.00020834338075717389,1,200
CMKLR1,HALLMARK_INFLAMMATORY_RESPONSE,0.49000933406956504,1.828935229608184,0.0,0.00021641006615964883,1,200
MSR1,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.519350736796357,1.8918895208765198,0.0,0.00024129203843514067,1,74
NMI,HALLMARK_MYC_TARGETS_V2,0.4999587810987879,1.8304628160310186,0.0,0.00024648071750536863,1,58
MSR1,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.5373408892531494,1.9345667022399953,0.0,0.00032172271791352093,1,87
TIMP1,HALLMARK_P53_PATHWAY,0.4185195900568635,1.8452454632942152,0.0,0.0003472618857234242,1,200
TLR3,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.4132491403189628,1.9625104803389672,0.0,0.00037189022826365737,1,200
CMKLR1,HALLMARK_HEDGEHOG_SIGNALING,0.5731301999872096,1.7638199603019533,0.0,0.00038472900650604234,1,36
MSR1,HALLMARK_COAGULATION,0.5121570226944173,1.9663749804921096,0.0,0.00048258407687028134,1,138
MSR1,HALLMARK_INFLAMMATORY_RESPONSE,0.46073583189630746,1.8457752271268901,0.0,0.0005515246592803216,1,200
MSR1,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.44977865895058516,1.8269019360872087,0.0,0.0006032300960878517,1,200
LYN,HALLMARK_MYC_TARGETS_V1,-0.3777473022228391,-2.058153087900048,0.0,0.000691358024691358,1,200
FZD5,HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.4117465216890912,-1.9770359089780878,0.0,0.0007021157086687887,1,74
LYN,HALLMARK_NOTCH_SIGNALING,0.5369801193963728,1.8063935991134663,0.0028368794326241137,0.0008383340797133901,1,32
FZD5,HALLMARK_GLYCOLYSIS,-0.3594476540215203,-2.032018385084892,0.0,0.0009361542782250515,1,200
LYN,HALLMARK_P53_PATHWAY,0.3900166334193463,1.7880787276815417,0.0,0.0010231974921630093,1,200
MSR1,HALLMARK_ALLOGRAFT_REJECTION,0.4362826188927517,1.7633003536863012,0.0,0.0012868908716540837,1,200
LYN,HALLMARK_PROTEIN_SECRETION,-0.37727676977961816,-1.896833094609958,0.0,0.0013827160493827162,1,96
TLR3,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.3946359232629234,1.8693814296682096,0.0,0.0014875609130546293,1,200
TLR3,HALLMARK_COAGULATION,0.4120551661548886,1.8225720906891374,0.0,0.0016735060271864581,1,138
LYN,HALLMARK_UV_RESPONSE_DN,0.3919570587138713,1.7384441415933036,0.0,0.001974921630094044,1,144
TIMP1,HALLMARK_TGF_BETA_SIGNALING,0.4540735089294063,1.682173906429732,0.0049382716049382715,0.00199164905047258,1,54
TIMP1,HALLMARK_MYOGENESIS,0.3892233028941684,1.691439350325735,0.0,0.002007607776838546,1,200
LYN,HALLMARK_IL2_STAT5_SIGNALING,0.37478744238629785,1.7135966042935888,0.0,0.002230499723400332,1,199
FZD5,HALLMARK_NOTCH_SIGNALING,0.5514560551839044,1.8261323613514278,0.0,0.002351149824223561,1,32
LYN,HALLMARK_MTORC1_SIGNALING,-0.32705821456235207,-1.8102246242805151,0.0,0.002419753086419753,1,200
TIMP1,HALLMARK_MYC_TARGETS_V1,-0.31161044007961786,-1.796754264785794,0.0,0.0025686305988120084,1,200
LYN,HALLMARK_TGF_BETA_SIGNALING,0.4447322954940264,1.6811756408572271,0.004054054054054054,0.0027084639498432604,1,54
TIMP1,HALLMARK_XENOBIOTIC_METABOLISM,0.38060981433887664,1.6560042232389993,0.0,0.002845618230233615,1,200
LYN,HALLMARK_MYOGENESIS,0.3637066838691615,1.6646060973616466,0.0,0.002946048506847055,1,200
