gene,baseMean,log2FC,lfcSE,stat,pvalue,padj,gene_symbol,design_name,design_formula
ENSG00000000003,167.0571818624,0.5403401607351473,0.15616093062151615,3.460149466224417,0.0005398756298315042,0.02551135689242672,TSPAN6,unadjusted,~condition
ENSG00000000419,346.9975428573045,-0.023760559335461895,0.08861386943965663,-0.26813589662329457,0.7885947156626705,0.927680625032642,DPM1,unadjusted,~condition
ENSG00000000457,642.3910800338966,0.15358316766702235,0.1590715531723984,0.9654973790352831,0.3342957481263322,0.6715167721408414,SCYL3,unadjusted,~condition
ENSG00000000460,492.5989937582828,0.025812784085082384,0.14973398855333275,0.17239094700191135,0.863130188881613,0.9560520917721492,FIRRM,unadjusted,~condition
ENSG00000000938,34.98096296992623,-0.1048952398272519,0.28480111576773076,-0.3683104946569068,0.7126417280965556,0.8940459900261346,FGR,unadjusted,~condition
ENSG00000000971,206.46098360088203,-0.18857883058497776,0.22211147497658312,-0.8490278613694288,0.395865789218772,0.7185548781794189,CFH,unadjusted,~condition
ENSG00000001036,217.43971254565153,0.024643149109224383,0.16078349534445457,0.15326914654038415,0.878186030657815,0.9610878046507468,FUCA2,unadjusted,~condition
ENSG00000001084,1033.2519158008035,0.0037681742511881176,0.09740583404776106,0.03868530348336699,0.9691412907600218,0.9906883261602774,GCLC,unadjusted,~condition
ENSG00000001167,1381.4505224719803,0.0350742395525075,0.11922506513809848,0.2941851154527027,0.7686164538198963,0.9186155745590665,NFYA,unadjusted,~condition
ENSG00000001460,1047.2079897804526,-0.2330642035347308,0.09063639239748117,-2.571419684409326,0.010128250487770909,0.12957943795402863,STPG1,unadjusted,~condition
ENSG00000001461,6768.184491720592,-0.3569108361383603,0.14079686865080404,-2.5349344737456425,0.011246836162490616,0.13742348123899134,NIPAL3,unadjusted,~condition
ENSG00000001497,1768.9624374680989,0.15678071871803442,0.08712131138755183,1.799567938326922,0.07192888743433962,0.336089171027032,LAS1L,unadjusted,~condition
ENSG00000001561,975.5802255729532,-0.08033734737090135,0.09000938848538982,-0.892544085931009,0.3721013737579485,0.6996949250945048,ENPP4,unadjusted,~condition
ENSG00000001617,2237.328842799642,-0.035559746594839466,0.10970092924387526,-0.32415173544963216,0.7458231603769627,0.9085587807981976,SEMA3F,unadjusted,~condition
ENSG00000001629,2101.9266676131597,0.05845582227345558,0.05439536954176166,1.0746470290743504,0.2825327878302558,0.6249301458445666,ANKIB1,unadjusted,~condition
ENSG00000001630,543.3454407600982,-0.19803546870531902,0.2039323570295157,-0.9710840966578775,0.3315064025244595,0.6692742061459181,CYP51A1,unadjusted,~condition
ENSG00000001631,1606.8501757315055,-0.027933717282566294,0.04995421083004289,-0.559186439309471,0.5760344869603842,0.827224814138665,KRIT1,unadjusted,~condition
ENSG00000002016,622.8265252877492,-0.04187940215187625,0.10599768289662685,-0.39509733616270376,0.6927710547194791,0.8848128573603339,RAD52,unadjusted,~condition
ENSG00000002330,784.5500705353091,0.13184957684057155,0.09765905223949847,1.3501009257925671,0.17698361145135644,0.5062573295541317,BAD,unadjusted,~condition
ENSG00000002549,471.5333417759295,0.3984161292950163,0.11638022670397645,3.4234005258335123,0.0006184288167380409,0.027621681364735494,LAP3,unadjusted,~condition
ENSG00000002586,285.22836665145275,0.19195266373373,0.21251899464928578,0.9032259165845583,0.3664060057370053,0.6952846533263013,CD99,unadjusted,~condition
ENSG00000002587,434.4762661969883,-0.07000298475059871,0.20697549438874988,-0.33821871017791233,0.7351983771432447,0.9046926010580949,HS3ST1,unadjusted,~condition
ENSG00000002745,15.336417861748078,0.21848511388986638,0.35921978391820863,0.6082212719653927,0.5430407280817066,0.8086134264634487,WNT16,unadjusted,~condition
ENSG00000002746,1342.3380495062515,-0.14253477888402427,0.11911895496264693,-1.1965751288593829,0.2314721993175024,0.5698969041568431,HECW1,unadjusted,~condition
ENSG00000002822,988.2047180927473,-0.11669991899005563,0.08724002146610087,-1.3376878756890505,0.18099820491945684,0.512350283097041,MAD1L1,unadjusted,~condition
ENSG00000002834,2677.9042059292105,0.02432964870702314,0.0686080769137142,0.3546178496975163,0.7228759020368112,0.8989942353691688,LASP1,unadjusted,~condition
ENSG00000002919,510.1177032678694,0.10613866829266293,0.08378727164330178,1.2667636290213058,0.20523982072781033,0.5408194686097758,SNX11,unadjusted,~condition
ENSG00000002933,366.83122727449484,0.7858084800603471,0.1805287197087384,4.352816999578546,1.3439933332925345e-05,0.0025640214525545495,TMEM176A,unadjusted,~condition
ENSG00000003056,1256.5645912378686,0.15556279771817655,0.08525640163499998,1.824646533689899,0.06805438642932295,0.32765665319927345,M6PR,unadjusted,~condition
ENSG00000003096,380.5754190396671,-0.10689279423489244,0.1343261482366822,-0.7957705602229262,0.4261654061140788,0.7408376168300115,KLHL13,unadjusted,~condition
ENSG00000003137,51.62936255133077,0.27345304950418675,0.36949648474703983,0.7400694209348022,0.4592578722761861,0.7614288452290915,CYP26B1,unadjusted,~condition
ENSG00000003147,403.3819821033364,-0.4219268210102944,0.1733982711018426,-2.433281591155443,0.014962659374150915,0.15724488206956105,ICA1,unadjusted,~condition
ENSG00000003249,1019.8615998631676,-0.3193563442576533,0.18312965065526288,-1.7438811416663151,0.0811798176545105,0.35544239984403353,DBNDD1,unadjusted,~condition
ENSG00000003393,2857.19615867448,-0.07170761950195872,0.05692823204463335,-1.2596143763210128,0.20780850682369922,0.542728033066134,ALS2,unadjusted,~condition
ENSG00000003400,47.16437768563353,0.0296828879449091,0.20089282391074267,0.14775484443435025,0.8825362470043202,0.9626876293459387,CASP10,unadjusted,~condition
ENSG00000003402,2109.250748393284,-0.036381011373166655,0.07113919634352495,-0.5114059933638544,0.609066799077743,0.845122878060415,CFLAR,unadjusted,~condition
ENSG00000003436,139.60651723725715,0.32400263068803187,0.18384500499375403,1.7623684184350812,0.0780070709527754,0.35001758327611737,TFPI,unadjusted,~condition
ENSG00000003509,545.6411912794899,-0.14911659550512468,0.07778859563451727,-1.9169467489262257,0.055244697128829394,0.29934583288264316,NDUFAF7,unadjusted,~condition
ENSG00000003756,6414.698515142619,-0.12741928438417602,0.07869262454078829,-1.6192023728746208,0.10540372763489436,0.3973448678678279,RBM5,unadjusted,~condition
ENSG00000003987,2614.385675119308,-0.2067720901761656,0.12042247753860413,-1.7170556062499225,0.08596901246079268,0.36392209697235,MTMR7,unadjusted,~condition
ENSG00000003989,2180.001837299512,-0.14203311501298982,0.17386353182623804,-0.8169229827617901,0.4139724428000122,0.7322372023494674,SLC7A2,unadjusted,~condition
ENSG00000004059,1103.9623975701381,0.05066836568224818,0.11832463733651617,0.42821484031383056,0.668494712746464,0.8732642061531601,ARF5,unadjusted,~condition
ENSG00000004139,3137.882178545891,0.05409402013104173,0.09113446473482327,0.5935627129477388,0.5528046263347045,0.8138387401230623,SARM1,unadjusted,~condition
ENSG00000004142,1339.0229657067352,0.025034423398177817,0.0977962179304302,0.25598559870675863,0.7979619574840364,0.9311665802272426,POLDIP2,unadjusted,~condition
ENSG00000004399,653.2046323270932,0.24926695110607058,0.26627058435126727,0.9361415257842928,0.3492003250507547,0.6825192256129934,PLXND1,unadjusted,~condition
ENSG00000004455,2411.2211577661647,-0.26724307015251114,0.1384114107052016,-1.9307878504446743,0.05350929345297499,0.2951211571876098,AK2,unadjusted,~condition
ENSG00000004478,3469.1353698980324,-0.3336115416904148,0.2232849926578969,-1.4941064230033283,0.1351478054599859,0.44401903456786646,FKBP4,unadjusted,~condition
ENSG00000004487,1710.151152954954,-0.018031598914584373,0.06089742682905487,-0.29609787890054634,0.7671553337916508,0.9182900627990547,KDM1A,unadjusted,~condition
ENSG00000004534,3304.606204608742,-0.0829824095195282,0.09877985550991233,-0.8400742144353623,0.4008667767026741,0.7224249632551931,RBM6,unadjusted,~condition
ENSG00000004660,2410.3441529985,-0.3946724843271183,0.1204001660433131,-3.27800614647938,0.0010454311920315572,0.03778659678481692,CAMKK1,unadjusted,~condition
