cell_type,control_mean,case_mean,delta_mean,pvalue,padj,significant
Immature_B_cell,-0.15276919082128093,-0.07600219267837587,0.07676699814290507,0.0019397281144371004,0.027156193602119405,1
Macrophage,-0.15144275268371218,-0.10647518880642629,0.0449675638772859,0.0019397281144371004,0.027156193602119405,1
Natural_killer_cell,0.2391210783851639,0.25982573324533365,0.020704654860169758,0.010165201897657461,0.09487521771146963,0
Memory_B_cell,0.29219835041522746,0.24838924283324032,-0.04380910758198714,0.02334220202334447,0.13071633133072905,0
Regulatory_T_cell,-0.07359378065145677,-0.02791055214756564,0.045683228503891136,0.02334220202334447,0.13071633133072905,0
Neutrophil,-0.2780037338211293,-0.230101256489229,0.04790247733190031,0.028365505617170772,0.13237235954679694,0
MDSC,-0.31436871377382525,-0.26500595538976757,0.04936275838405768,0.0820987086774072,0.29961148638975843,0
Natural_killer_T_cell,0.09899217133214426,0.11123981818467152,0.012247646852527258,0.09630369205385092,0.29961148638975843,0
Plasmacytoid_dendritic_cell,0.561089697904951,0.5722758151961994,0.01118611729124841,0.09630369205385092,0.29961148638975843,0
Monocyte,0.5622249903723073,0.5448954043456574,-0.017329586026649912,0.11241058468252252,0.3147496371110631,0
T_follicular_helper_cell,0.23556029917177565,0.24675510576350454,0.01119480659172889,0.15092695009759893,0.3739450280622284,0
CD56dim_natural_killer_cell,0.4494336102854836,0.4294823847058131,-0.019951225579670495,0.1736173344574632,0.3739450280622284,0
Central_memory_CD4_T_cell,0.39762830745869415,0.4118454372651909,0.014217129806496753,0.1736173344574632,0.3739450280622284,0
Activated_CD4_T_cell,-0.3204674310631709,-0.2996034919344245,0.0208639391287464,0.22647606607859094,0.4529521321571819,0
Type_1_T_helper_cell,0.14588512594132136,0.16304825263837766,0.017163126697056302,0.25683925799381546,0.4775127477301679,0
Central_memory_CD8_T_cell,0.40348031378324933,0.38081042136395726,-0.02266989241929207,0.2899184539790305,0.4775127477301679,0
Effector_memory_CD4_T_cell,0.27434289366592857,0.26111544347125976,-0.01322745019466881,0.2899184539790305,0.4775127477301679,0
Mast_cell,-0.20482763835332912,-0.18396355947828183,0.020864078875047293,0.32575135451528814,0.5067243292460037,0
Activated_CD8_T_cell,0.06311067705379415,0.0692957859550857,0.00618510890129155,0.3643461266698109,0.5369311340397214,0
Activated_dendritic_cell,0.23613341530284004,0.24019744229566248,0.004064026992822434,0.5453496680415029,0.7271328907220038,0
CD56bright_natural_killer_cell,0.2751676848131046,0.274484899364985,-0.0006827854481196161,0.5453496680415029,0.7271328907220038,0
Type_17_T_helper_cell,0.11217173107527798,0.11840777450591386,0.006236043430635885,0.6501474441195365,0.8230331504879151,0
Effector_memory_CD8_T_cell,0.02095576748985317,0.024440234471066555,0.003484466981213387,0.7054569861324986,0.8230331504879151,0
Immature_dendritic_cell,0.43567413511464304,0.44231062655662756,0.006636491441984527,0.7054569861324986,0.8230331504879151,0
Gamma_delta_T_cell,0.23767741706688056,0.24040196643147463,0.00272454936459407,0.7623688184872623,0.8538530767057338,0
Activated_B_cell,0.10989222613367641,0.1043859147359644,-0.005506311397712016,0.8798291600208448,0.912415425206802,0
Type_2_T_helper_cell,0.1412035652929397,0.13443256308593293,-0.006771002207006771,0.8798291600208448,0.912415425206802,0
Eosinophil,0.027685619788832615,0.03320915936722245,0.0055235395783898335,1.0,1.0,0
