cell_type,rho,pvalue,padj,significant
Immature_B_cell,0.5910598035943575,8.30489972192261e-06,0.00023253719221383307,1
Regulatory_T_cell,0.4406557262517792,0.0028271128191961203,0.039579579468745685,1
Macrophage,0.3911133130062044,0.009739005780748267,0.09089738728698382,0
Memory_B_cell,-0.3690596227217819,0.015717219702885643,0.09822508462009545,0
Natural_killer_cell,0.36331103046754853,0.01769114302096142,0.09822508462009545,0
Neutrophil,0.3546358821566145,0.021048232418591883,0.09822508462009545,0
MDSC,0.33477710891471746,0.030690003896671314,0.12276001558668526,0
Plasmacytoid_dendritic_cell,0.31815845130702464,0.04121543764884095,0.14425403177094331,0
Mast_cell,0.24802562580537763,0.11938918276172861,0.3465256278512256,0
T_follicular_helper_cell,0.23924595763527576,0.13392472188293914,0.3465256278512256,0
Natural_killer_T_cell,0.23391544481771392,0.14334353227615204,0.3465256278512256,0
Monocyte,-0.2248222170701084,0.1604769550034879,0.3465256278512256,0
Central_memory_CD4_T_cell,0.22461317735177266,0.16088689864521188,0.3465256278512256,0
Activated_CD4_T_cell,0.18928546495302945,0.24096577871997749,0.48193155743995497,0
Type_1_T_helper_cell,0.17904251875457727,0.26831117094420054,0.500847519095841,0
CD56dim_natural_killer_cell,-0.13409897931238918,0.4104359042313772,0.7094906484410581,0
Activated_dendritic_cell,0.12845490691732367,0.43076217941064243,0.7094906484410581,0
Activated_CD8_T_cell,0.1192571593105503,0.46500690898304087,0.7233440806402859,0
Type_2_T_helper_cell,-0.1076554549429157,0.5101073241797218,0.7517371093174848,0
Effector_memory_CD8_T_cell,0.08466108592598225,0.6052756756972699,0.847385945976178,0
CD56bright_natural_killer_cell,-0.07713565606589494,0.6379264213454463,0.8505685617939285,0
Gamma_delta_T_cell,0.06793790845912155,0.6787223924329386,0.8638284994601038,0
Central_memory_CD8_T_cell,-0.05602264451398332,0.7328713734157328,0.8921912372017616,0
Immature_dendritic_cell,0.04097178479380869,0.8030273435223432,0.9117962932205292,0
Type_17_T_helper_cell,0.033968954229560776,0.8362094829484106,0.9117962932205292,0
Effector_memory_CD4_T_cell,-0.031774037187035316,0.84666798656192,0.9117962932205292,0
Eosinophil,-0.018604534931882518,0.9098826521593091,0.9435820096466908,0
Activated_B_cell,0.003658195070875776,0.9822468733885676,0.9822468733885676,0
