table,rows
candidate_gene_summary.csv,4
deg_diabetic_vs_healthy.csv,25012
deg_npdr_pdr_dme_vs_diabetic.csv,25012
deg_nppr_vs_healthy.csv,25012
deg_primary_healthy_vs_npdr_pdr_dme.csv,25012
deseq_covariate_design_summary.csv,20
external_validation_dataset_screening.csv,2
external_validation_gse102485_gene_stats.csv,9
external_validation_gse102485_metadata.csv,30
external_validation_gse102485_signature_scores.csv,30
external_validation_supportive_summary.csv,6
gene_immune_correlations.csv,196
gene_set_summary.csv,4
gsea_CMKLR1.csv,50
gsea_FZD5.csv,50
gsea_LYN.csv,50
gsea_MSR1.csv,50
gsea_NMI.csv,50
gsea_OPRK1.csv,50
gsea_RGS1.csv,50
gsea_RNF144B.csv,50
gsea_summary_matrix.csv,350
gsea_TIMP1.csv,50
gsea_TLR3.csv,50
immune_primary_comparison.csv,28
immune_severity_trend.csv,28
immune_ssgsea_scores.csv,1092
inflammation_group_comparison.csv,1
inflammation_severity_trend.csv,1
inflammation_ssgsea_scores.csv,39
inflammatory_core_genes.csv,11
ipa_input_selected_genes.csv,7
lasso_coefficients.csv,7
lasso_cv_curve.csv,40
lasso_path_coefficients.csv,320
lasso_selected_genes.csv,7
manuscript_bioinformatics_values.csv,14
master_analysis_summary.csv,42
pathway_recurrence_summary.csv,40
pca_coordinates.csv,39
progressive_inflammatory_genes.csv,8
qc_metrics.csv,39
roc_combined_signature.csv,1
roc_curve_combined_signature.csv,8
roc_curve_individual_genes.csv,62
roc_individual_genes.csv,7
sample_correlation_matrix.csv,39
severity_trend_all_genes.csv,25012
signature_scores.csv,20
