pathway,n_genes,genes,mean_nes,max_abs_nes,min_padj
HALLMARK_INFLAMMATORY_RESPONSE,7,"CMKLR1,FZD5,LYN,MSR1,NMI,TIMP1,TLR3",1.9659815187676233,2.6885314934127806,0.0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,7,"CMKLR1,FZD5,LYN,MSR1,NMI,TIMP1,TLR3",2.1014323221864357,2.6196058848986934,0.0
HALLMARK_INTERFERON_ALPHA_RESPONSE,7,"CMKLR1,FZD5,LYN,MSR1,NMI,TIMP1,TLR3",2.2648553732996093,2.594015758072568,0.0
HALLMARK_INTERFERON_GAMMA_RESPONSE,7,"CMKLR1,FZD5,LYN,MSR1,NMI,TIMP1,TLR3",2.033111587679158,2.520364638594646,0.0
HALLMARK_COAGULATION,7,"CMKLR1,FZD5,LYN,MSR1,NMI,TIMP1,TLR3",2.0134130090638442,2.4216221004469367,0.0
HALLMARK_ALLOGRAFT_REJECTION,7,"CMKLR1,FZD5,LYN,MSR1,NMI,TIMP1,TLR3",1.8833092849620503,2.3420868549296934,0.0
HALLMARK_KRAS_SIGNALING_UP,7,"CMKLR1,FZD5,LYN,MSR1,NMI,TIMP1,TLR3",1.7030036325084374,2.2181342512194204,0.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION,6,"FZD5,LYN,MSR1,NMI,TIMP1,TLR3",-2.4211482394359547,3.332876792296059,0.0
HALLMARK_IL6_JAK_STAT3_SIGNALING,6,"CMKLR1,LYN,MSR1,NMI,TIMP1,TLR3",2.0828818010315167,2.633581598402646,0.0
HALLMARK_HYPOXIA,6,"CMKLR1,FZD5,LYN,NMI,TIMP1,TLR3",-0.674126958543932,2.520016087444202,0.0
HALLMARK_MTORC1_SIGNALING,6,"CMKLR1,FZD5,LYN,NMI,TIMP1,TLR3",-2.0785232426239415,2.4463848765953577,0.0
HALLMARK_ANGIOGENESIS,6,"CMKLR1,LYN,MSR1,NMI,TIMP1,TLR3",1.7954958927465172,2.0763654106376355,0.0
HALLMARK_APOPTOSIS,6,"CMKLR1,LYN,MSR1,NMI,TIMP1,TLR3",1.6165922124069125,2.0603939026295746,0.0
HALLMARK_IL2_STAT5_SIGNALING,6,"CMKLR1,FZD5,LYN,MSR1,NMI,TIMP1",1.6100707455079786,1.8947260284246468,0.00012402210204408005
HALLMARK_UV_RESPONSE_DN,6,"CMKLR1,FZD5,LYN,NMI,TIMP1,TLR3",1.4554601046199551,1.7384441415933036,0.001974921630094044
HALLMARK_XENOBIOTIC_METABOLISM,6,"CMKLR1,FZD5,LYN,MSR1,TIMP1,TLR3",1.499676215812295,1.6560042232389993,0.002845618230233615
HALLMARK_ADIPOGENESIS,6,"CMKLR1,FZD5,LYN,NMI,TIMP1,TLR3",-1.6353091429087774,1.7576600477943929,0.005722070844686649
HALLMARK_ESTROGEN_RESPONSE_EARLY,6,"CMKLR1,FZD5,LYN,MSR1,TIMP1,TLR3",0.534829630879229,1.4522355988105087,0.02463949843260188
HALLMARK_TNFA_SIGNALING_VIA_NFKB,5,"CMKLR1,LYN,NMI,TIMP1,TLR3",1.8107598973468995,2.480315447129263,0.0
HALLMARK_PROTEIN_SECRETION,5,"CMKLR1,FZD5,LYN,NMI,TIMP1",-1.7400096545101362,2.055471398052986,0.0
HALLMARK_COMPLEMENT,5,"CMKLR1,LYN,MSR1,NMI,TIMP1",1.811041088314531,2.0309881164191728,0.0
HALLMARK_NOTCH_SIGNALING,5,"CMKLR1,FZD5,LYN,TIMP1,TLR3",1.7437940940787768,1.8986063888671523,0.00013356226373977852
HALLMARK_MYOGENESIS,5,"CMKLR1,LYN,MSR1,TIMP1,TLR3",1.0479750918897415,1.691439350325735,0.002007607776838546
HALLMARK_SPERMATOGENESIS,5,"CMKLR1,LYN,NMI,TIMP1,TLR3",-1.5639283484762134,1.7692212293511003,0.003371327660940761
