sample_id,group,library_size,expr_median
sample_01,healthy control,23597252.0,2.9107001410019855
sample_10,healthy control,22177006.0,2.9131857431885457
sample_02,healthy control,28098297.0,2.9285998521985324
sample_21,diabetic,19800962.0,2.9183418369797907
sample_22,diabetic,24233309.0,2.9331362722437886
sample_23,diabetic,23265569.0,2.904088891979131
sample_24,diabetic,24670810.0,2.8875098052385186
sample_25,diabetic,27519104.0,2.913779141251435
sample_26,diabetic,24297912.0,2.9683662417484045
sample_27,diabetic,16752936.0,2.9127369355819974
sample_28,diabetic,19818813.0,2.936246500351958
sample_29,diabetic,24973219.0,2.9263304253092284
sample_03,healthy control,26941363.0,2.8905905297339647
sample_30,diabetic,25150089.0,2.8555984775934142
sample_04,healthy control,27440313.0,2.8015223928397597
sample_41,NPDR,28394653.0,2.9356447231766443
sample_42,NPDR,27272559.0,2.8316587525323933
sample_43,NPDR,28515380.0,2.8968515037285623
sample_44,NPDR,23153262.0,2.8850486158942834
sample_46,NPDR,24527168.0,2.986379531380505
sample_47,NPDR,26413449.0,2.922587402034574
sample_48,NPDR,24983663.0,2.9029192435511493
sample_49,NPDR,26297317.0,2.8991091445128165
sample_05,healthy control,33463735.0,2.9201158238694984
sample_50,NPDR,26010452.0,2.9127178512876446
sample_06,healthy control,32336819.0,2.862551570061649
sample_61,NPDR/PDR + DME,30754204.0,2.9913908410169574
sample_62,NPDR/PDR + DME,25600725.0,2.785420876674814
sample_63,NPDR/PDR + DME,26112478.0,3.0071763923578168
sample_64,NPDR/PDR + DME,20095941.0,3.0017136563009448
sample_65,NPDR/PDR + DME,24849866.0,3.0064630094033533
sample_66,NPDR/PDR + DME,26421082.0,3.006084698983082
sample_67,NPDR/PDR + DME,26455268.0,2.942049655320284
sample_68,NPDR/PDR + DME,27793437.0,3.0082765635404045
sample_69,NPDR/PDR + DME,40079054.0,3.0538503979307343
sample_07,healthy control,34175823.0,2.9630531041220634
sample_70,NPDR/PDR + DME,38114605.0,2.8350350178381216
sample_08,healthy control,24310788.0,2.9135888404540036
sample_09,healthy control,25397668.0,2.9645306703763845
