item,fpr,tpr,threshold
MSR1,0.0,0.0,inf
MSR1,0.0,0.1,1.44484134937695
MSR1,0.0,0.8,0.5621937277059642
MSR1,0.3,0.8,-0.46859285970678793
MSR1,0.3,0.9,-0.4792798329759614
MSR1,0.8,0.9,-0.9557259819489405
MSR1,0.8,1.0,-1.0512642744170841
MSR1,1.0,1.0,-1.7905006699941937
NMI,0.0,0.0,inf
NMI,0.0,0.1,2.4557337506402095
NMI,0.0,0.3,1.345729958508824
NMI,0.1,0.3,0.9902260288408592
NMI,0.1,0.8,0.09600782841916802
NMI,0.2,0.8,-0.12609618137481932
NMI,0.2,0.9,-0.22564950648535093
NMI,0.3,0.9,-0.2551988418722367
NMI,0.3,1.0,-0.4312753537581756
NMI,1.0,1.0,-2.0423636422700806
FZD5,0.0,0.0,inf
FZD5,0.0,0.1,2.3388998843834887
FZD5,0.0,0.8,0.07653453153717023
FZD5,0.6,0.8,-0.5782181825472201
FZD5,0.6,0.9,-0.5923354051046831
FZD5,0.8,0.9,-0.8753708513672743
FZD5,0.8,1.0,-0.9177746825035868
FZD5,1.0,1.0,-1.8649932685805044
TIMP1,0.0,0.0,inf
TIMP1,0.0,0.1,2.266250680931758
TIMP1,0.0,0.7,0.1366292608953476
TIMP1,0.2,0.7,-0.10035691141643041
TIMP1,0.2,0.8,-0.1116002950374166
TIMP1,0.4,0.8,-0.33954075933946276
TIMP1,0.4,0.9,-0.3767217160050604
TIMP1,0.5,0.9,-0.6169677594084759
TIMP1,0.5,1.0,-0.7708975249730293
TIMP1,1.0,1.0,-1.4676997264722864
CMKLR1,0.0,0.0,inf
CMKLR1,0.0,0.1,1.5849265004316964
CMKLR1,0.0,0.7,0.8742939792957493
CMKLR1,0.1,0.7,0.7367640567932583
CMKLR1,0.1,0.8,0.24187800474597493
CMKLR1,0.8,0.8,-1.0165911702740542
CMKLR1,0.8,0.9,-1.0264692425120658
CMKLR1,0.9,0.9,-1.1246745473542166
CMKLR1,0.9,1.0,-1.3229373255063575
CMKLR1,1.0,1.0,-1.5237673959720344
LYN,0.0,0.0,inf
LYN,0.0,0.1,1.7421164136565386
LYN,0.0,0.9,-0.18703789565202
LYN,0.9,0.9,-1.1187145587105907
LYN,0.9,1.0,-1.2132829183425613
LYN,1.0,1.0,-1.4117523677550563
TLR3,0.0,0.0,inf
TLR3,0.0,0.1,2.0934436958686047
TLR3,0.0,0.7,0.7025933476541593
TLR3,0.3,0.7,0.011986028065496849
TLR3,0.3,0.8,-0.18036235816208035
TLR3,0.4,0.8,-0.5255087191178966
TLR3,0.4,0.9,-0.5334441526415856
TLR3,0.5,0.9,-0.7322872917180173
TLR3,0.5,1.0,-0.7584760730617762
TLR3,1.0,1.0,-2.096221781025034
