gene,gene_symbol,spearman_rho,pvalue,padj,trend_significant,trend_rule
ENSG00000087086,FTL,0.7979046048875907,8.881784197001252e-16,2.2215118633539532e-11,1,spearman_positive_fdr<0.1
ENSG00000230606,APPAT,0.7208734686808637,2.5027935279808844e-10,3.129993586092894e-06,1,spearman_positive_fdr<0.1
ENSG00000091317,CMTM6,0.6965203414947477,3.535076231742096e-09,2.9473108902777767e-05,1,spearman_positive_fdr<0.1
ENSG00000130313,PGLS,0.6898310705080035,6.794527163123121e-09,4.2486178351008874e-05,1,spearman_positive_fdr<0.1
ENSG00000236924,LINC02851,0.681574001633741,1.4644722767798157e-08,7.32587611736335e-05,1,spearman_positive_fdr<0.1
ENSG00000072694,FCGR2B,0.6755118498020041,2.5091375199792765e-08,9.55421966920714e-05,1,spearman_positive_fdr<0.1
ENSG00000136854,STXBP1,-0.6747802107878289,2.6738980363205656e-08,9.55421966920714e-05,0,spearman_positive_fdr<0.1
ENSG00000069535,MAOB,0.6693451781110992,4.250244556303073e-08,0.00012873354013045457,1,spearman_positive_fdr<0.1
ENSG00000122694,GLIPR2,0.6670457412094059,5.146871107086781e-08,0.00012873354013045457,1,spearman_positive_fdr<0.1
ENSG00000177519,RPRM,0.6678819000827488,4.8023159893162415e-08,0.00012873354013045457,1,spearman_positive_fdr<0.1
ENSG00000129680,MAP7D3,0.6591022319126469,9.76977925226663e-08,0.00022214701696153907,1,spearman_positive_fdr<0.1
ENSG00000138696,BMPR1B,0.6571163545884573,1.1413141365324009e-07,0.00023788790985790342,1,spearman_positive_fdr<0.1
ENSG00000130300,PLVAP,0.6539553497282404,1.4562652461691528e-07,0.00026808323306085465,1,spearman_positive_fdr<0.1
ENSG00000245498,MSANTD2-AS1,0.6535626793767494,1.5005458431360807e-07,0.00026808323306085465,1,spearman_positive_fdr<0.1
ENSG00000275395,FCGBP,0.6464553289533336,2.550227562458929e-07,0.00042524194528148485,1,spearman_positive_fdr<0.1
ENSG00000092607,TBX15,-0.6410202962766038,3.770398295799282e-07,0.0005396427350485351,0,spearman_positive_fdr<0.1
ENSG00000204580,DDR1,0.6406022168399323,3.883563581830174e-07,0.0005396427350485351,1,spearman_positive_fdr<0.1
ENSG00000264107,MIR4733HG,0.6420654948682827,3.5006125953529477e-07,0.0005396427350485351,1,spearman_positive_fdr<0.1
ENSG00000129910,CDH15,0.6397660579665893,4.1193118494042835e-07,0.0005422748840910524,1,spearman_positive_fdr<0.1
ENSG00000105974,CAV1,0.6319270685289984,7.062246694111707e-07,0.0007898800607725815,1,spearman_positive_fdr<0.1
ENSG00000123989,CHPF,0.6320315883881662,7.012760245839189e-07,0.0007898800607725815,1,spearman_positive_fdr<0.1
ENSG00000166562,SEC11C,0.6315089890923269,7.26341012224907e-07,0.0007898800607725815,1,spearman_positive_fdr<0.1
ENSG00000184384,MAML2,0.633076786979845,6.535085410597219e-07,0.0007898800607725815,1,spearman_positive_fdr<0.1
ENSG00000161921,CXCL16,0.6292095521906335,8.466815317742515e-07,0.0008823832696973991,1,spearman_positive_fdr<0.1
ENSG00000165923,AGBL2,0.6252377975422541,1.0983302285438867e-06,0.0010988574270535878,1,spearman_positive_fdr<0.1
ENSG00000104870,FCGRT,0.6242971188097431,1.1671785085098918e-06,0.001122825725186516,1,spearman_positive_fdr<0.1
ENSG00000026025,VIM,0.6206389237388674,1.4741200686785305e-06,0.0013140240653226993,1,spearman_positive_fdr<0.1
ENSG00000115602,IL1RL1,-0.6206389237388674,1.4741200686785305e-06,0.0013140240653226993,0,spearman_positive_fdr<0.1
ENSG00000122432,SPATA1,0.620116324443028,1.5235366181975962e-06,0.0013140240653226993,1,spearman_positive_fdr<0.1
ENSG00000169439,SDC2,0.6159355300763129,1.97678637992027e-06,0.0016481126978188597,1,spearman_positive_fdr<0.1
ENSG00000134438,RAX,0.6141586924704588,2.2042491123475116e-06,0.0017784735096140632,1,spearman_positive_fdr<0.1
ENSG00000155666,KDM8,0.612277335005437,2.4708917707449984e-06,0.0018727862112083,1,spearman_positive_fdr<0.1
ENSG00000171169,NAIF1,0.612381854864605,2.4553401418714316e-06,0.0018727862112083,1,spearman_positive_fdr<0.1
ENSG00000125991,ERGIC3,0.6089326995120649,3.018533176302185e-06,0.0022205750531079484,1,spearman_positive_fdr<0.1
ENSG00000150540,HNMT,0.6075739413428825,3.2709688571053164e-06,0.002337527801540519,1,spearman_positive_fdr<0.1
ENSG00000167920,KRT10-AS1,0.6060061434553643,3.586016421142091e-06,0.0024914845201557214,1,spearman_positive_fdr<0.1
ENSG00000110092,CCND1,0.6041247859903425,4.000377673563094e-06,0.0027042553073286513,1,spearman_positive_fdr<0.1
ENSG00000143819,EPHX1,0.603602186694503,4.122959339492027e-06,0.002713775236825647,1,spearman_positive_fdr<0.1
ENSG00000273356,LINC02019,-0.6027660278211601,4.32620662049743e-06,0.002774540512612352,0,spearman_positive_fdr<0.1
ENSG00000197061,H4C3,0.6003620710602988,4.962292091015286e-06,0.003102921244511858,1,spearman_positive_fdr<0.1
ENSG00000160862,AZGP1,0.5995259121869557,5.202707531903883e-06,0.0031536294382581006,1,spearman_positive_fdr<0.1
ENSG00000263276,,-0.5992123526094522,5.295555589590606e-06,0.0031536294382581006,0,spearman_positive_fdr<0.1
ENSG00000283217,,-0.5957631972569121,6.4208821464184496e-06,0.0037348628894469365,0,spearman_positive_fdr<0.1
ENSG00000113732,ATP6V0E1,0.5936728000735545,7.204276650130126e-06,0.004004297057178994,1,spearman_positive_fdr<0.1
ENSG00000168672,LRATD2,0.5936728000735545,7.204276650130126e-06,0.004004297057178994,1,spearman_positive_fdr<0.1
ENSG00000174417,TRHR,-0.5916869227493649,8.02770015662091e-06,0.004364974702552221,0,spearman_positive_fdr<0.1
ENSG00000177600,RPLP2,0.5911643234535254,8.258106278580257e-06,0.004394718175315945,1,spearman_positive_fdr<0.1
ENSG00000232903,LINC01166,-0.5907462440168539,8.44672405220237e-06,0.004401447124868452,0,spearman_positive_fdr<0.1
ENSG00000119487,MAPKAP1,0.5860428503542994,1.0854231810242254e-05,0.005540531551791413,1,spearman_positive_fdr<0.1
ENSG00000010361,FUZ,0.5844750524667811,1.1784992357544155e-05,0.0055791028697886715,1,spearman_positive_fdr<0.1
ENSG00000054219,LY75,0.5846840921851169,1.1656860612108133e-05,0.0055791028697886715,1,spearman_positive_fdr<0.1
ENSG00000082556,OPRK1,0.5840569730301096,1.2045080560074695e-05,0.0055791028697886715,1,spearman_positive_fdr<0.1
ENSG00000150977,RILPL2,0.5840569730301096,1.2045080560074695e-05,0.0055791028697886715,1,spearman_positive_fdr<0.1
ENSG00000260769,,-0.584579572325949,1.1720768281708871e-05,0.0055791028697886715,0,spearman_positive_fdr<0.1
ENSG00000010704,HFE,0.5817575361284163,1.3570532591433704e-05,0.006171384748671633,1,spearman_positive_fdr<0.1
ENSG00000196247,ZNF107,0.5807123375367375,1.4319888998581831e-05,0.006395876136295157,1,spearman_positive_fdr<0.1
ENSG00000102882,MAPK3,0.5786219403533799,1.593164864011065e-05,0.006753938911634705,1,spearman_positive_fdr<0.1
ENSG00000151023,ENKUR,0.5787264602125478,1.5847330878226984e-05,0.006753938911634705,1,spearman_positive_fdr<0.1
ENSG00000197555,SIPA1L1,0.5792490595083872,1.543174802343117e-05,0.006753938911634705,1,spearman_positive_fdr<0.1
ENSG00000108091,CCDC6,-0.5749637452825042,1.9150128041545145e-05,0.007983050042918787,0,spearman_positive_fdr<0.1
ENSG00000214274,ANG,0.5709919906341248,2.3297567385949236e-05,0.00955276648290758,1,spearman_positive_fdr<0.1
