gene_symbol,bootstrap_top5_frequency,bootstrap_top10_frequency,bootstrap_top20_frequency,bootstrap_positive_frequency,bootstrap_beta_median,bootstrap_beta_ci_low,bootstrap_beta_ci_high,bootstrap_rank_median,bootstrap_rank_ci_low,bootstrap_rank_ci_high,bootstrap_iterations
ABCA1,0.0095,0.018,0.077,0.847,0.2296539,-0.26211897,0.6460805,58.0,12.0,134.0,2000
ABI1,0.003,0.0125,0.0305,0.6165,0.07609346,-0.44119576,0.55112237,89.0,18.0,150.0,2000
ACVR1B,0.0305,0.0795,0.2035,0.88,0.2946345,-0.2333721,0.71769077,48.0,5.0,137.0,2000
ACVR2A,0.001,0.004,0.0155,0.346,-0.10117414,-0.7071708,0.37923643,124.0,30.0,158.0,2000
ADM,0.016,0.039,0.1025,0.8205,0.190799,-0.26374763,0.6437107,66.0,7.975000000000001,138.0,2000
ADORA2B,0.0005,0.002,0.0095,0.539,0.0167577,-0.38266402,0.4551599,103.0,32.0,144.0,2000
ADRM1,0.008,0.019,0.079,0.7575,0.16659717,-0.31372803,0.5972997,70.0,12.0,145.02499999999986,2000
AHR,0.0,0.003,0.0075,0.748,0.09117995,-0.2102835,0.35278964,88.0,29.975,135.0,2000
APLNR,0.0555,0.1105,0.2315,0.891,0.29985452,-0.18429773,0.7561276,45.0,3.0,129.0,2000
AQP9,0.0005,0.003,0.012,0.5085,0.0053597386,-0.44526127,0.43610418,103.0,26.0,151.0,2000
ATP2A2,0.0,0.0025,0.0075,0.3345,-0.089252084,-0.46163726,0.382797,122.0,34.0,154.0,2000
ATP2B1,0.0005,0.003,0.008,0.315,-0.10583334,-0.54987305,0.34908178,123.0,36.0,156.0,2000
ATP2C1,0.0035,0.0075,0.016,0.4145,-0.049809277,-0.50881904,0.40169233,115.0,26.0,156.0,2000
AXL,0.2355,0.3985,0.6435,0.9895,0.53360534,0.0969655,0.9086621,14.0,1.0,71.02499999999986,2000
BEST1,0.0265,0.068,0.1795,0.8605,0.30296215,-0.29916254,0.7148981,45.0,5.0,140.0,2000
BST2,0.001,0.0055,0.025,0.8105,0.18386796,-0.2840884,0.5630078,68.0,20.975,141.0,2000
BTG2,0.001,0.002,0.0085,0.5115,0.0071219187,-0.52063495,0.4342958,105.0,30.0,153.0,2000
C3AR1,0.063,0.1805,0.4145,0.9865,0.43652534,0.049856603,0.7828693,25.0,3.0,85.0,2000
C5AR1,0.0,0.0,0.0,0.13,-0.20890546,-0.52555937,0.1971737,137.0,78.0,155.0,2000
CALCRL,0.0,0.0,0.0,0.141,-0.25581506,-0.64986974,0.31813052,142.0,60.0,158.0,2000
CCL2,0.0005,0.002,0.0045,0.2965,-0.107485145,-0.5373693,0.29875427,124.0,49.975,155.0,2000
CD14,0.1005,0.232,0.488,0.996,0.46781498,0.12580468,0.8290605,21.0,2.0,69.0,2000
