held_out_donor,gene_symbol,severity_beta,rank_descending_beta
04_031,CD82,0.6471577208171323,2
04_031,FPR1,0.5538697070167822,4
04_031,NLRP3,0.5301690542554289,7
04_031,P2RX4,0.676879319017916,1
04_031,SLC31A1,0.4277172147659211,18
04_031,TLR2,0.611410779893128,3
05_024,CD82,0.5683235940073171,4
05_024,FPR1,0.502203615142307,10
05_024,NLRP3,0.6119494036466387,3
05_024,P2RX4,0.6573051197860142,1
05_024,SLC31A1,0.4508212110312496,18
05_024,TLR2,0.6466213954938834,2
06_013,CD82,0.530332987568588,5
06_013,FPR1,0.556525097595936,3
06_013,NLRP3,0.5094421041231992,6
06_013,P2RX4,0.6865759252444016,1
06_013,SLC31A1,0.403284035934941,21
06_013,TLR2,0.626082316011278,2
08_021,CD82,0.569472338141163,3
08_021,FPR1,0.5048355176240876,7
08_021,NLRP3,0.5373632825963769,4
08_021,P2RX4,0.6976195730383584,1
08_021,SLC31A1,0.4308774849591605,17
08_021,TLR2,0.6312280247250401,2
14_090,CD82,0.5776085940850738,4
14_090,FPR1,0.5453342368040252,5
14_090,NLRP3,0.5143855568050896,8
14_090,P2RX4,0.6924597260792922,1
14_090,SLC31A1,0.593580810659116,3
14_090,TLR2,0.662362766257508,2
07_020,CD82,0.5571507555716825,3
07_020,FPR1,0.532333177515183,4
07_020,NLRP3,0.5233642591025301,6
07_020,P2RX4,0.7236770767055017,1
07_020,SLC31A1,0.47188317059463003,13
07_020,TLR2,0.633624578521337,2
16_005,CD82,0.5234005113811345,5
16_005,FPR1,0.5266758469950147,4
16_005,NLRP3,0.5319708401126254,3
16_005,P2RX4,0.6893885055181065,1
16_005,SLC31A1,0.4349911671085379,13
16_005,TLR2,0.6089158691418414,2
16_025,CD82,0.5609629265667261,5
16_025,FPR1,0.516719347353091,9
16_025,NLRP3,0.5815570552208775,3
16_025,P2RX4,0.6759153375648085,2
16_025,SLC31A1,0.5056576049409469,11
16_025,TLR2,0.6784272221724182,1
17_020,CD82,0.559237541018104,6
17_020,FPR1,0.5153100465468222,9
17_020,NLRP3,0.4683633690889076,12
17_020,P2RX4,0.5905372968887174,4
17_020,SLC31A1,0.30669248134501537,24
17_020,TLR2,0.5337136823706546,7
17_030,CD82,0.5354406368960053,6
17_030,FPR1,0.538570146876691,5
17_030,NLRP3,0.5417726308428563,4
17_030,P2RX4,0.6880367159048737,1
17_030,SLC31A1,0.43739288628516226,15
17_030,TLR2,0.5821031157522015,2
06_016,CD82,0.5633040421687767,3
06_016,FPR1,0.544572432612435,4
06_016,NLRP3,0.5243451100343078,6
06_016,P2RX4,0.6569125521479011,2
06_016,SLC31A1,0.4361296722716202,18
06_016,TLR2,0.6738562630931445,1
08_027,CD82,0.61396439761506,4
08_027,FPR1,0.535437661562198,10
08_027,NLRP3,0.5664265217078577,7
08_027,P2RX4,0.7504582491236784,1
08_027,SLC31A1,0.5416445855889018,9
08_027,TLR2,0.7034519600237833,2
09_023,CD82,0.567056120712486,3
09_023,FPR1,0.5037640431549744,7
09_023,NLRP3,0.5205033824670399,4
09_023,P2RX4,0.6915074934135099,1
09_023,SLC31A1,0.44752643149780647,13
09_023,TLR2,0.6273990044021932,2
09_024,CD82,0.5857441992618163,3
09_024,FPR1,0.5342485344685695,7
09_024,NLRP3,0.5782740417009853,4
09_024,P2RX4,0.7528280779745088,1
09_024,SLC31A1,0.4584355324310778,15
09_024,TLR2,0.6391681319850604,2
15_048,CD82,0.5580113151090641,5
15_048,FPR1,0.5261773834443623,7
15_048,NLRP3,0.567536295841259,3
15_048,P2RX4,0.6661118494134459,1
15_048,SLC31A1,0.49459929638642014,10
15_048,TLR2,0.6389111468895622,2
15_076,CD82,0.5366402179096151,5
15_076,FPR1,0.5508459420166588,4
15_076,NLRP3,0.554172316571125,3
15_076,P2RX4,0.737160313008446,1
15_076,SLC31A1,0.45702643038689966,16
15_076,TLR2,0.681045058080911,2
16_063,CD82,0.5474210969236597,7
16_063,FPR1,0.5910079982086351,4
16_063,NLRP3,0.5435903896534128,8
16_063,P2RX4,0.6974838902518833,1
