contrast,multiplicity_family,gene_symbol,case_group,control_group,n_case_donors,n_control_donors,mean_difference,cliff_delta,mannwhitney_pvalue,covariate_adjusted_case_beta,covariate_adjusted_case_pvalue_t,covariate_adjusted_residual_df,covariate_adjusted_estimable,mannwhitney_padj_within_contrast_158,mannwhitney_padj_global_790,adjusted_padj_within_contrast_158,adjusted_padj_global_estimable_contrasts
NPDR_vs_diabetes,primary_contrast_family,ABCA1,NPDR,Diabetic,9,10,-0.20118237137029826,-0.13333333333333333,0.6533789106936937,0.012313702893630374,0.9869858715007145,13.0,True,0.9470997054092074,0.9757454431909603,0.9869858715007145,0.9876659260514868
NPDR_vs_diabetes,primary_contrast_family,ABI1,NPDR,Diabetic,9,10,-0.1105278672057457,-0.3111111111111111,0.2703441406547801,-0.5940050433007232,0.27769307006014604,13.0,True,0.8717219229276583,0.7778142435182146,0.9822026970269762,0.8087528660632547
NPDR_vs_diabetes,primary_contrast_family,ACVR1B,NPDR,Diabetic,9,10,0.11238656540392622,0.4444444444444444,0.11134688653314041,0.8311906286277687,0.051346452831912595,13.0,True,0.6267866123519378,0.5873045784317557,0.8346936070422225,0.575090483691549
NPDR_vs_diabetes,primary_contrast_family,ACVR2A,NPDR,Diabetic,9,10,-0.06039192895197143,-0.28888888888888886,0.30743416592739536,-0.44440379919981654,0.5203279276939345,13.0,True,0.8892295540413785,0.837315289186947,0.9822026970269762,0.9070101787504123
NPDR_vs_diabetes,primary_contrast_family,ADM,NPDR,Diabetic,9,10,0.5439144264150322,0.26666666666666666,0.34774559891069756,0.5024362108051156,0.3798147392364861,13.0,True,0.8892295540413785,0.8515183213038158,0.9822026970269762,0.8613980210435139
NPDR_vs_diabetes,primary_contrast_family,ADORA2B,NPDR,Diabetic,9,10,-0.07707407459556448,0.1111111111111111,0.7133031738784577,0.19784834499368406,0.6479474194588948,13.0,True,0.9632641151521053,0.9808110964180328,0.9822026970269762,0.929381772996572
NPDR_vs_diabetes,primary_contrast_family,ADRM1,NPDR,Diabetic,9,10,0.06050322740810454,0.044444444444444446,0.9025232501776794,0.12667841767118132,0.7921374791528802,13.0,True,0.9902685661671761,0.9947116595316041,0.9822026970269762,0.9431803136389127
NPDR_vs_diabetes,primary_contrast_family,AHR,NPDR,Diabetic,9,10,0.03225712380831869,0.0,1.0,0.19785713106291047,0.512344243444153,13.0,True,1.0,1.0,0.9822026970269762,0.9070101787504123
NPDR_vs_diabetes,primary_contrast_family,APLNR,NPDR,Diabetic,9,10,0.17131143885303934,0.2222222222222222,0.437942822899974,0.3367128220959634,0.6528653645374267,13.0,True,0.8892295540413785,0.8949813073524413,0.9822026970269762,0.929381772996572
NPDR_vs_diabetes,primary_contrast_family,AQP9,NPDR,Diabetic,9,10,0.044670136159061236,0.08888888888888889,0.7746663677213794,0.3276095996287229,0.4688412162512754,13.0,True,0.9642371420462442,0.9808110964180328,0.9822026970269762,0.9070101787504123
NPDR_vs_diabetes,primary_contrast_family,ATP2A2,NPDR,Diabetic,9,10,0.012735824338742319,0.022222222222222223,0.967435545139537,0.06354589418716167,0.9057618789608152,13.0,True,1.0,1.0,0.9822026970269762,0.9582700455460328
NPDR_vs_diabetes,primary_contrast_family,ATP2B1,NPDR,Diabetic,9,10,-0.10230330791234188,-0.4444444444444444,0.11134688653314041,-0.7810702979773516,0.19180748749892762,13.0,True,0.6267866123519378,0.5873045784317557,0.9822026970269762,0.8035631002085502
NPDR_vs_diabetes,primary_contrast_family,ATP2C1,NPDR,Diabetic,9,10,-0.056168543924399295,-0.3333333333333333,0.23644471557230384,-0.523078969634992,0.309182867122841,13.0,True,0.8121361969657392,0.7778142435182146,0.9822026970269762,0.8261972870713243
NPDR_vs_diabetes,primary_contrast_family,AXL,NPDR,Diabetic,9,10,0.10207468877123294,0.4444444444444444,0.11134688653314041,0.828322707437686,0.2799864454085507,13.0,True,0.6267866123519378,0.5873045784317557,0.9822026970269762,0.8087528660632547
NPDR_vs_diabetes,primary_contrast_family,BEST1,NPDR,Diabetic,9,10,0.17712626013485533,0.17777777777777778,0.5402913746074198,0.29055316351796845,0.710408917914048,13.0,True,0.8892295540413785,0.911976911976912,0.9822026970269762,0.9327806844633206
NPDR_vs_diabetes,primary_contrast_family,BST2,NPDR,Diabetic,9,10,-0.026893357812069696,-0.1111111111111111,0.7133031738784577,0.1003507982382791,0.8344820830586549,13.0,True,0.9632641151521053,0.9808110964180328,0.9822026970269762,0.94336419697225
NPDR_vs_diabetes,primary_contrast_family,BTG2,NPDR,Diabetic,9,10,-0.21042695192036476,-0.022222222222222223,0.967435545139537,-0.5147106030535965,0.27766470692912604,13.0,True,1.0,1.0,0.9822026970269762,0.8087528660632547
NPDR_vs_diabetes,primary_contrast_family,C3AR1,NPDR,Diabetic,9,10,0.21844854853265705,0.5333333333333333,0.055013832353979004,1.0967806736621084,0.04825694479768563,13.0,True,0.6267866123519378,0.49843014335379626,0.8346936070422225,0.575090483691549
NPDR_vs_diabetes,primary_contrast_family,C5AR1,NPDR,Diabetic,9,10,-0.38292431379757064,-0.3333333333333333,0.23644471557230384,-0.6018042426011618,0.21556305565491338,13.0,True,0.8121361969657392,0.7778142435182146,0.9822026970269762,0.8059138968264247
NPDR_vs_diabetes,primary_contrast_family,CALCRL,NPDR,Diabetic,9,10,0.03902505041754423,0.022222222222222223,0.967435545139537,0.0943476970318177,0.8840936790260912,13.0,True,1.0,1.0,0.9822026970269762,0.9525694717931628
NPDR_vs_diabetes,primary_contrast_family,CCL2,NPDR,Diabetic,9,10,-0.15367821576171725,-0.2,0.48766835345893045,-0.0932493099523781,0.874993623026335,13.0,True,0.8892295540413785,0.911976911976912,0.9822026970269762,0.9500331264925448
