gene_symbol,lodo_top5_frequency,lodo_top10_frequency,lodo_top20_frequency,lodo_positive_frequency,lodo_beta_min,lodo_beta_max,lodo_rank_min,lodo_rank_median,lodo_rank_max
ABCA1,0.0,0.0,0.0,1.0,0.07008913223915433,0.34543587274277543,30,45.0,91
ABI1,0.0,0.0,0.0,0.8461538461538461,-0.05852366776032741,0.20231732618225967,62,97.5,123
ACVR1B,0.0,0.0,0.038461538461538464,1.0,0.1427900508156713,0.44921819502759947,15,32.0,78
ACVR2A,0.0,0.0,0.0,0.038461538461538464,-0.21877490467186972,0.01778263667573078,104,131.5,149
ADM,0.0,0.0,0.0,1.0,0.1266390542979505,0.32249414915175584,29,53.0,80
ADORA2B,0.0,0.0,0.0,0.5769230769230769,-0.05675625289766273,0.11738558786875652,85,105.5,123
ADRM1,0.0,0.0,0.0,1.0,0.03296775672997828,0.2576767609814234,43,71.0,92
AHR,0.0,0.0,0.0,1.0,0.025141899530643805,0.13884621476469047,69,87.0,108
APLNR,0.0,0.0,0.038461538461538464,1.0,0.11247939722931681,0.44903326626450496,14,31.0,82
AQP9,0.0,0.0,0.0,0.5384615384615384,-0.11939643807618723,0.13353333113931706,72,108.0,132
ATP2A2,0.0,0.0,0.0,0.038461538461538464,-0.17538729555050833,0.017003988503979942,105,128.5,144
ATP2B1,0.0,0.0,0.0,0.038461538461538464,-0.2651398632088713,0.005044988227962922,109,140.0,152
ATP2C1,0.0,0.0,0.0,0.038461538461538464,-0.21319975063312097,0.0387626652596941,100,124.5,150
AXL,0.23076923076923078,0.7307692307692307,1.0,1.0,0.391233172910401,0.6548232752655934,3,9.0,16
BEST1,0.0,0.0,0.0,1.0,0.11869577596756671,0.4343423554194105,22,28.0,78
BST2,0.0,0.0,0.0,1.0,0.017153736661752548,0.22248432639308874,48,62.5,100
BTG2,0.0,0.0,0.0,0.6538461538461539,-0.12799097497994236,0.10527253887265811,88,103.5,136
C3AR1,0.038461538461538464,0.07692307692307693,0.6538461538461539,1.0,0.2608239256791653,0.5806351100876987,5,20.0,35
C5AR1,0.0,0.0,0.0,0.0,-0.2746721490255543,-0.11431205131933171,136,148.0,152
CALCRL,0.0,0.0,0.0,0.0,-0.3562724173533531,-0.1535327989605972,134,153.5,158
CCL2,0.0,0.0,0.0,0.0,-0.19347708263147698,-0.019384938806232193,115,137.5,144
CD14,0.038461538461538464,0.07692307692307693,0.9615384615384616,1.0,0.3561756215642865,0.604804504216709,3,14.5,23
CD40,0.038461538461538464,0.07692307692307693,0.7307692307692307,1.0,0.26217512815043686,0.6004378573828972,2,19.0,49
CD55,0.0,0.0,0.0,0.46153846153846156,-0.09285294235363138,0.10138003737120778,75,107.5,131
CD82,0.7692307692307693,1.0,1.0,1.0,0.5092561343325568,0.6575459262671739,2,4.0,8
CDKN1A,0.0,0.0,0.0,1.0,0.14675305472696873,0.3613674694189938,27,38.0,65
CHST2,0.0,0.0,0.0,0.5769230769230769,-0.0871575854668417,0.0963795263556121,83,105.5,131
CLEC5A,0.0,0.0,0.0,1.0,0.11228450829888673,0.2775710980657437,36,51.5,74
CMKLR1,0.0,0.0,0.0,1.0,0.21681856370221408,0.4196587321582113,22,28.0,47
CSF1,0.0,0.0,0.0,1.0,0.07882730238478718,0.2724981602350109,33,73.5,87
CSF3R,0.11538461538461539,0.6153846153846154,1.0,1.0,0.44063636742606277,0.5992469231088099,3,9.0,16
CX3CL1,0.0,0.0,0.0,1.0,0.07766904843627837,0.2907731237319186,28,58.0,88
CXCL8,0.0,0.0,0.0,0.15384615384615385,-0.21285721644433633,0.1144961891411,83,116.0,146
CXCR6,0.0,0.0,0.0,0.0,-0.285710846017043,-0.042304454581206304,118,143.0,154
CYBB,0.0,0.0,0.0,1.0,0.18285249744631807,0.3513966622346092,29,40.5,55
DCBLD2,0.0,0.0,0.038461538461538464,1.0,0.20118194424694869,0.40057272132705224,18,28.5,51
EBI3,0.0,0.0,0.0,1.0,0.07262158512246214,0.3133076367369263,38,51.5,89
EDN1,0.0,0.0,0.0,0.11538461538461539,-0.2510660836413009,0.03907258547720966,95,124.0,150
EIF2AK2,0.0,0.0,0.0,0.8076923076923077,-0.06342098915300581,0.13201469233172627,70,98.0,127
EMP3,0.0,0.0,0.0,0.9230769230769231,-0.00845439554706749,0.12264667121961528,78,93.5,110
F3,0.0,0.0,0.0,1.0,0.0583614835383884,0.29076980983648243,43,64.5,92
FPR1,0.5384615384615384,1.0,1.0,1.0,0.46324702831390185,0.5910079982086351,3,5.0,10
FZD5,0.0,0.0,0.0,0.9615384615384616,-0.11531892216735196,0.2402192101951669,53,90.0,132
GABBR1,0.0,0.0,0.0,1.0,0.07708200976124999,0.2686411889668354,36,60.0,89
GCH1,0.0,0.0,0.0,0.07692307692307693,-0.21284825264359752,0.027014601186284706,102,127.0,145
GNA15,0.0,0.0,0.0,0.0,-0.3123433496065606,-0.05930634425876066,125,142.0,158
GNAI3,0.0,0.0,0.0,0.3076923076923077,-0.1080735574347969,0.1396541189548999,70,112.5,130
GPC3,0.0,0.0,0.038461538461538464,1.0,0.1216701827316679,0.43127765995428674,16,35.0,77
GPR132,0.0,0.0,0.0,0.9615384615384616,-0.04339467267294245,0.32034268445080766,31,55.5,117
GPR183,0.0,0.0,0.0,1.0,0.11080500771447084,0.4195560168008266,24,37.0,81
HBEGF,0.0,0.0,0.0,0.6538461538461539,-0.08876899121769068,0.11209986061100571,86,102.0,125
HIF1A,0.0,0.0,0.0,1.0,0.134847227412082,0.39792302017208325,25,35.0,73
HPN,0.0,0.038461538461538464,0.7307692307692307,1.0,0.2920837714915952,0.5583656863765246,8,19.0,27
HRH1,0.0,0.0,0.0,0.038461538461538464,-0.15791329568141688,0.0380758085066392,101,129.5,142
ICAM1,0.0,0.0,0.0,1.0,0.09349794440548,0.28082603679025286,29,62.5,84
