model,gene_symbol,severity_beta,severity_se_hc3,severity_ci_low_t,severity_ci_high_t,severity_t,severity_pvalue_t,residual_df,n_donors,dme_beta,dme_pvalue_t,severity_padj_bh_158,rank_descending_beta,observed_beta,observed_hc3_t,wild_bootstrap_t_two_sided_p,wild_bootstrap_t_padj_bh_158,wild_bootstrap_iterations,wild_bootstrap_weight,null_residual_scaling,bootstrap_top5_frequency,bootstrap_top10_frequency,bootstrap_top20_frequency,bootstrap_positive_frequency,bootstrap_beta_median,bootstrap_beta_ci_low,bootstrap_beta_ci_high,bootstrap_rank_median,bootstrap_rank_ci_low,bootstrap_rank_ci_high,bootstrap_iterations,lodo_top5_frequency,lodo_top10_frequency,lodo_top20_frequency,lodo_positive_frequency,lodo_beta_min,lodo_beta_max,lodo_rank_min,lodo_rank_median,lodo_rank_max,candidate_tier,maximum_cooks_distance,maximum_cooks_donor,maximum_absolute_severity_dfbeta
total_association,P2RX4,0.6879902439039749,0.18696829721175645,0.29798121012271594,1.0779992776852338,3.6797160489982494,0.0014857541720058982,20,26,,,0.19501696977371863,1,0.6879902439039748,3.6797160489982486,0.0008,0.1264,4999,Rademacher,HC3 (residual/(1-leverage)),0.6165,0.798,0.919,1.0,0.69400036,0.37221092,0.9645845,4.0,1.0,36.0,2000,1.0,1.0,1.0,1.0,0.5905372968887174,0.7528280779745088,1,1.0,4,discovery-selected; externally target-locked,0.5242726950127347,13_030,0.4870972112279205
total_association,TLR2,0.641179350596534,0.23202222455595073,0.157189471219515,1.125169229973553,2.763439372343047,0.011986377487358004,20,26,,,0.3156412738337608,2,0.641179350596534,2.7634393723430466,0.0082,0.14395555555555556,4999,Rademacher,HC3 (residual/(1-leverage)),0.4605,0.6875,0.889,0.999,0.6426164,0.2899694,0.89264107,6.0,1.0,39.0,2000,0.9615384615384616,1.0,1.0,1.0,0.5337136823706546,0.7034519600237833,1,2.0,7,estimand-dependent candidate,0.203620505301331,17_020,0.6931445194411442
total_association,CD82,0.5678537126124198,0.21486501284585613,0.11965314971965951,1.01605427550518,2.642839358028928,0.015607537321496985,20,26,,,0.3522844138280748,3,0.5678537126124198,2.642839358028928,0.008,0.14395555555555556,4999,Rademacher,HC3 (residual/(1-leverage)),0.282,0.4845,0.72,0.9965,0.5695294,0.19179152,0.905519,11.0,1.0,71.02499999999986,2000,0.7692307692307693,1.0,1.0,1.0,0.5092561343325568,0.6575459262671739,2,4.0,8,cross-estimand secondary candidate,0.6924923594789275,04_028,0.5109474307305103
total_association,NLRP3,0.5449763414248171,0.1621149042483734,0.20681057690570914,0.8831421059439251,3.3616671085951997,0.003103725313724102,20,26,,,0.19501696977371863,4,0.5449763414248172,3.3616671085952006,0.0032,0.14395555555555556,4999,Rademacher,HC3 (residual/(1-leverage)),0.1955,0.422,0.721,0.9965,0.54838395,0.21356417,0.8277156,13.0,1.0,58.0,2000,0.5769230769230769,0.9615384615384616,1.0,1.0,0.4683633690889076,0.6119494036466387,3,4.5,12,cross-estimand secondary candidate,0.18901623449188087,04_028,0.3521246290331851
total_association,FPR1,0.5308233945175956,0.16582226424394103,0.18492421256187797,0.8767225764733133,3.20115876440272,0.004484339945155028,20,26,,,0.19501696977371863,5,0.5308233945175956,3.2011587644027197,0.0034,0.14395555555555556,4999,Rademacher,HC3 (residual/(1-leverage)),0.1785,0.4235,0.726,1.0,0.5510016,0.27699065,0.80576795,12.0,2.0,52.0,2000,0.5384615384615384,1.0,1.0,1.0,0.46324702831390185,0.5910079982086351,3,5.0,10,cross-estimand secondary candidate,0.21648261119772044,13_030,0.3784441650362882
total_association,OPRK1,0.5254584205820312,0.1856936132355696,0.1381083309819135,0.9128085101821488,2.829706479540782,0.01035306190233558,20,26,,,0.3156412738337608,6,0.5254584205820314,2.829706479540783,0.0056,0.14395555555555556,4999,Rademacher,HC3 (residual/(1-leverage)),0.15,0.3295,0.6185,0.9975,0.5213609,0.2229179,0.76053596,16.0,2.0,58.024999999999864,2000,0.2692307692307692,0.8461538461538461,1.0,1.0,0.4329250505872179,0.5661746943015513,4,6.0,15,not prioritized,,,
total_association,IL10RA,0.5128937229302448,0.16236161939633773,0.1742133196305965,0.8515741262298931,3.1589591483331425,0.004937138475284016,20,26,,,0.19501696977371863,7,0.5128937229302449,3.1589591483331425,0.0056,0.14395555555555556,4999,Rademacher,HC3 (residual/(1-leverage)),0.11,0.3,0.6155,0.9965,0.51067734,0.19067211,0.7463254,16.0,3.0,65.0,2000,0.15384615384615385,0.8846153846153846,1.0,1.0,0.45561916339500447,0.5784360198589925,3,8.0,15,not prioritized,,,
total_association,AXL,0.5094551641462534,0.25856214458594834,-0.02989601830669908,1.0488063465992057,1.9703393354896388,0.06280203551717077,20,26,,,0.7632862778240755,8,0.5094551641462534,1.9703393354896388,0.043,0.5226153846153846,4999,Rademacher,HC3 (residual/(1-leverage)),0.2355,0.3985,0.6435,0.9895,0.53360534,0.0969655,0.9086621,14.0,1.0,71.02499999999986,2000,0.23076923076923078,0.7307692307692307,1.0,1.0,0.391233172910401,0.6548232752655934,3,9.0,16,not prioritized,,,
total_association,CSF3R,0.5018218338615633,0.21543419908811656,0.05243396927276117,0.9512096984503655,2.3293508458065606,0.03043386651686781,20,26,,,0.5342834344072349,9,0.5018218338615633,2.3293508458065606,0.0058,0.14395555555555556,4999,Rademacher,HC3 (residual/(1-leverage)),0.214,0.3905,0.6455,0.9965,0.53333914,0.1855737,0.9467774,14.0,1.0,59.0,2000,0.11538461538461539,0.6153846153846154,1.0,1.0,0.44063636742606277,0.5992469231088099,3,9.0,16,not prioritized,,,
total_association,IFNGR2,0.4921196482890549,0.3091863911785626,-0.152831862101463,1.1370711586795728,1.5916601193641926,0.1271439396918754,20,26,,,0.954330993468347,10,0.4921196482890549,1.5916601193641924,0.0694,0.60198,4999,Rademacher,HC3 (residual/(1-leverage)),0.262,0.392,0.591,0.996,0.5217192,0.12641008,0.9726345,16.0,1.0,82.0,2000,0.07692307692307693,0.46153846153846156,0.9230769230769231,1.0,0.3788096536761909,0.6636541332639231,1,11.0,24,not prioritized,,,
