model,gene_symbol,severity_beta,severity_se_hc3,severity_ci_low_t,severity_ci_high_t,severity_t,severity_pvalue_t,residual_df,n_donors,dme_beta,dme_pvalue_t,severity_padj_bh_158,rank_descending_beta
total_mean_severity,P2RX4,0.6879902439039749,0.18696829721175645,0.29798121012271594,1.0779992776852338,3.6797160489982494,0.0014857541720058982,20.0,26,,,0.19501696977371863,1
total_mean_severity,TLR2,0.641179350596534,0.23202222455595073,0.157189471219515,1.125169229973553,2.763439372343047,0.011986377487358004,20.0,26,,,0.3156412738337608,2
total_mean_severity,CD82,0.5678537126124198,0.21486501284585613,0.11965314971965951,1.01605427550518,2.642839358028928,0.015607537321496985,20.0,26,,,0.3522844138280748,3
total_mean_severity,NLRP3,0.5449763414248171,0.1621149042483734,0.20681057690570914,0.8831421059439251,3.3616671085951997,0.003103725313724102,20.0,26,,,0.19501696977371863,4
total_mean_severity,FPR1,0.5308233945175956,0.16582226424394103,0.18492421256187797,0.8767225764733133,3.20115876440272,0.004484339945155028,20.0,26,,,0.19501696977371863,5
total_mean_severity,OPRK1,0.5254584205820312,0.1856936132355696,0.1381083309819135,0.9128085101821488,2.829706479540782,0.01035306190233558,20.0,26,,,0.3156412738337608,6
total_mean_severity,IL10RA,0.5128937229302448,0.16236161939633773,0.1742133196305965,0.8515741262298931,3.1589591483331425,0.004937138475284016,20.0,26,,,0.19501696977371863,7
total_mean_severity,AXL,0.5094551641462534,0.25856214458594834,-0.02989601830669908,1.0488063465992057,1.9703393354896388,0.06280203551717077,20.0,26,,,0.7632862778240755,8
total_mean_severity,CSF3R,0.5018218338615633,0.21543419908811656,0.05243396927276117,0.9512096984503655,2.3293508458065606,0.03043386651686781,20.0,26,,,0.5342834344072349,9
total_mean_severity,IFNGR2,0.4921196482890549,0.3091863911785626,-0.152831862101463,1.1370711586795728,1.5916601193641926,0.1271439396918754,20.0,26,,,0.954330993468347,10
total_mean_severity,PIK3R5,0.4797802427119435,0.23303169875984758,-0.006315362955362058,0.9658758483792491,2.058862572196173,0.05276974137696544,20.0,26,,,0.7579653761418673,11
total_mean_severity,P2RY2,0.4749085226536275,0.23741352808501542,-0.020327418818135767,0.9701444641253907,2.0003431417082833,0.05922568312130609,20.0,26,,,0.7632862778240755,12
total_mean_severity,CD14,0.4583663878479525,0.2089269260597755,0.02255245693764868,0.8941803187582562,2.1939076809889526,0.04022458877346979,20.0,26,,,0.6355485026208226,13
total_mean_severity,SLC31A1,0.4537645111952447,0.3141502843801295,-0.201541498969873,1.1090705213603624,1.4444185912185221,0.16410605498013933,20.0,26,,,0.954330993468347,14
total_mean_severity,SLC4A4,0.45186412950691435,0.19264181875724629,0.05002033716448845,0.8537079218493402,2.3456180616542137,0.029418886259823633,20.0,26,,,0.5342834344072349,15
total_mean_severity,TLR1,0.4448284339849868,0.27072537578975314,-0.11989480415974568,1.0095516721297193,1.643098408072552,0.11599226603378741,20.0,26,,,0.954330993468347,16
total_mean_severity,TNFSF10,0.434767359760835,0.26828019273517434,-0.12485531591017218,0.9943900354318422,1.620571967420659,0.12077004314963197,20.0,26,,,0.954330993468347,17
total_mean_severity,HPN,0.43010510968696775,0.23125354982867236,-0.05228134230611153,0.9124915616800471,1.8598854374586575,0.07767445109296135,20.0,26,,,0.8766116623348496,18
total_mean_severity,CD40,0.4265808100200284,0.29738606936955314,-0.1937556604109218,1.0469172804509785,1.4344344068448232,0.16690063186840082,20.0,26,,,0.954330993468347,19
total_mean_severity,C3AR1,0.41624072633758497,0.28730822548884277,-0.1830737301309518,1.0155551828061218,1.4487602143285978,0.1629027240793935,20.0,26,,,0.954330993468347,20
total_mean_severity,NOD2,0.4155417586744447,0.2559361532197762,-0.1183317017758369,0.9494152191247263,1.6236149267962654,0.12011510848739866,20.0,26,,,0.954330993468347,21
total_mean_severity,OLR1,0.4100456205965132,0.22662957093992303,-0.06269538045370604,0.8827866216467325,1.809320905898956,0.08545804117024695,20.0,26,,,0.9001580336599345,22
total_mean_severity,ITGB8,0.40096894712709635,0.24513985619985393,-0.11038383237380239,0.912321726627995,1.6356742365068553,0.11754895141478595,20.0,26,,,0.954330993468347,23
total_mean_severity,PLAUR,0.37758441325497755,0.2811617028040805,-0.20890862156535478,0.9640774480753098,1.3429439695707295,0.19433327330309944,20.0,26,,,0.954330993468347,24
total_mean_severity,CMKLR1,0.3376510222336421,0.2570403774595761,-0.198525809618447,0.8738278540857312,1.3136108247691294,0.20384756467987855,20.0,26,,,0.954330993468347,25
total_mean_severity,SLC31A2,0.33567614996079975,0.2742855980090976,-0.23647358159762888,0.9078258815192284,1.2238198155400997,0.23524279682381688,20.0,26,,,0.954330993468347,26
total_mean_severity,BEST1,0.33113554686363733,0.3013212684866399,-0.29740960508326875,0.9596806988105434,1.0989451508907322,0.28484546736187594,20.0,26,,,0.954330993468347,27
total_mean_severity,RGS1,0.33064850193154993,0.2790594960294563,-0.25145940639832165,0.9127564102614215,1.1848674086928335,0.24995903828230837,20.0,26,,,0.954330993468347,28
total_mean_severity,DCBLD2,0.31834177245859496,0.22043422859957557,-0.1414759709263611,0.778159515843551,1.4441576268850287,0.16417861328242056,20.0,26,,,0.954330993468347,29
total_mean_severity,APLNR,0.31810327777062775,0.3192588457693447,-0.34785900472050657,0.9840655602617621,0.9963804667778827,0.33096842009719707,20.0,26,,,0.954330993468347,30
total_mean_severity,ACVR1B,0.3103916042252093,0.2812302698227376,-0.2762444588897297,0.8970276673401483,1.1036920187178016,0.2828297259256558,20.0,26,,,0.954330993468347,31
total_mean_severity,MSR1,0.3009372168183741,0.2574630295935448,-0.23612125193608263,0.8379956855728308,1.168856038451275,0.2562051737277643,20.0,26,,,0.954330993468347,32
total_mean_severity,GPC3,0.2949909896494577,0.2841117882710802,-0.29765581562134613,0.8876377949202615,1.0382919745941597,0.31152487346960006,20.0,26,,,0.954330993468347,33
total_mean_severity,PTGER2,0.29298367976707446,0.23312822920891135,-0.19331328488852634,0.7792806444226752,1.2567490464851656,0.22332485159070709,20.0,26,,,0.954330993468347,34
total_mean_severity,HIF1A,0.28871756993529657,0.272109870922768,-0.2788936744498223,0.8563288143204155,1.0610330634320952,0.30132044239144395,20.0,26,,,0.954330993468347,35
total_mean_severity,GPR183,0.2740712599536812,0.27578765064926497,-0.3012116985080058,0.8493542184153682,0.9937764048116622,0.3322038268402474,20.0,26,,,0.954330993468347,36
total_mean_severity,CDKN1A,0.2708708423960099,0.23015998701123164,-0.209234477532599,0.7509761623246187,1.1768806816225255,0.2530602634047278,20.0,26,,,0.954330993468347,37
total_mean_severity,RIPK2,0.2659664391709628,0.21861489141727464,-0.1900562333534619,0.7219891116953875,1.2165979977242598,0.2379202670515338,20.0,26,,,0.954330993468347,38
total_mean_severity,MET,0.2613395568558376,0.25431632321644854,-0.26915499741671806,0.7918341111283933,1.027616133917647,0.31639908075663625,20.0,26,,,0.954330993468347,39
total_mean_severity,SELL,0.2601073311964587,0.19054626212397435,-0.13736520660728652,0.6575798690002039,1.365061315279048,0.18739404501043677,20.0,26,,,0.954330993468347,40
total_mean_severity,CYBB,0.2544863596339879,0.20593979853594888,-0.17509653244929185,0.6840692517172677,1.235731808242809,0.2308767098346233,20.0,26,,,0.954330993468347,41
total_mean_severity,TNFRSF1B,0.2527996417155066,0.1780801262904557,-0.11866899241086781,0.624268275841881,1.4195836839377598,0.17112841811719964,20.0,26,,,0.954330993468347,42
total_mean_severity,TIMP1,0.24869717452058676,0.3116944464743799,-0.4014860475407274,0.898880396581901,0.7978877305439215,0.43430761663187145,20.0,26,,,0.9823353820001004,43
total_mean_severity,MMP14,0.23902284843457056,0.22906829636158837,-0.23880524470316056,0.7168509415723017,1.043456699294907,0.3091860639457931,20.0,26,,,0.954330993468347,44
