model,gene_symbol,severity_beta,severity_se_hc3,severity_ci_low_t,severity_ci_high_t,severity_t,severity_pvalue_t,residual_df,n_donors,dme_beta,dme_pvalue_t,severity_padj_bh_158,rank_descending_beta,observed_beta,observed_hc3_t,wild_bootstrap_t_two_sided_p,wild_bootstrap_t_padj_bh_158,wild_bootstrap_iterations,wild_bootstrap_weight,null_residual_scaling
total_association,P2RX4,0.6879902439039749,0.18696829721175645,0.29798121012271594,1.0779992776852338,3.6797160489982494,0.0014857541720058982,20,26,,,0.19501696977371863,1,0.6879902439039748,3.6797160489982486,0.0008,0.1264,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,TLR2,0.641179350596534,0.23202222455595073,0.157189471219515,1.125169229973553,2.763439372343047,0.011986377487358004,20,26,,,0.3156412738337608,2,0.641179350596534,2.7634393723430466,0.0082,0.14395555555555556,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,CD82,0.5678537126124198,0.21486501284585613,0.11965314971965951,1.01605427550518,2.642839358028928,0.015607537321496985,20,26,,,0.3522844138280748,3,0.5678537126124198,2.642839358028928,0.008,0.14395555555555556,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,NLRP3,0.5449763414248171,0.1621149042483734,0.20681057690570914,0.8831421059439251,3.3616671085951997,0.003103725313724102,20,26,,,0.19501696977371863,4,0.5449763414248172,3.3616671085952006,0.0032,0.14395555555555556,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,FPR1,0.5308233945175956,0.16582226424394103,0.18492421256187797,0.8767225764733133,3.20115876440272,0.004484339945155028,20,26,,,0.19501696977371863,5,0.5308233945175956,3.2011587644027197,0.0034,0.14395555555555556,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,OPRK1,0.5254584205820312,0.1856936132355696,0.1381083309819135,0.9128085101821488,2.829706479540782,0.01035306190233558,20,26,,,0.3156412738337608,6,0.5254584205820314,2.829706479540783,0.0056,0.14395555555555556,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,IL10RA,0.5128937229302448,0.16236161939633773,0.1742133196305965,0.8515741262298931,3.1589591483331425,0.004937138475284016,20,26,,,0.19501696977371863,7,0.5128937229302449,3.1589591483331425,0.0056,0.14395555555555556,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,AXL,0.5094551641462534,0.25856214458594834,-0.02989601830669908,1.0488063465992057,1.9703393354896388,0.06280203551717077,20,26,,,0.7632862778240755,8,0.5094551641462534,1.9703393354896388,0.043,0.5226153846153846,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,CSF3R,0.5018218338615633,0.21543419908811656,0.05243396927276117,0.9512096984503655,2.3293508458065606,0.03043386651686781,20,26,,,0.5342834344072349,9,0.5018218338615633,2.3293508458065606,0.0058,0.14395555555555556,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,IFNGR2,0.4921196482890549,0.3091863911785626,-0.152831862101463,1.1370711586795728,1.5916601193641926,0.1271439396918754,20,26,,,0.954330993468347,10,0.4921196482890549,1.5916601193641924,0.0694,0.60198,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,PIK3R5,0.4797802427119435,0.23303169875984758,-0.006315362955362058,0.9658758483792491,2.058862572196173,0.05276974137696544,20,26,,,0.7579653761418673,11,0.4797802427119436,2.058862572196173,0.0308,0.4081666666666667,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,P2RY2,0.4749085226536275,0.23741352808501542,-0.020327418818135767,0.9701444641253907,2.0003431417082833,0.05922568312130609,20,26,,,0.7632862778240755,12,0.4749085226536275,2.000343141708283,0.031,0.4081666666666667,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,CD14,0.4583663878479525,0.2089269260597755,0.02255245693764868,0.8941803187582562,2.1939076809889526,0.04022458877346979,20,26,,,0.6355485026208226,13,0.4583663878479523,2.1939076809889513,0.0072,0.14395555555555556,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,SLC31A1,0.4537645111952447,0.3141502843801295,-0.201541498969873,1.1090705213603624,1.4444185912185221,0.16410605498013933,20,26,,,0.954330993468347,14,0.4537645111952445,1.4444185912185212,0.2302,0.8092078431372549,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,SLC4A4,0.45186412950691435,0.19264181875724629,0.05002033716448845,0.8537079218493402,2.3456180616542137,0.029418886259823633,20,26,,,0.5342834344072349,15,0.45186412950691446,2.3456180616542137,0.0092,0.14536,4999,Rademacher,HC3 (residual/(1-leverage))
