donor,cell_type,gene_symbol,n_regions_observed,n_libraries,total_cells,region_balanced_mean_expm1_expression,region_balanced_mean_detection_fraction,cell_type_rank_within_donor,expression_relative_to_donor_gene_max,is_dominant_cell_type
donor_1,Müller-enriched glia,CD82,2,2,520,0.24575671141156852,0.05998710821045846,1,1.0,True
donor_1,Microglia,CD82,2,2,49,0.1882159861686777,0.04878048780487805,2,0.7658630565473046,False
donor_1,Retinal ganglion cells,CD82,2,2,177,0.14473052384607968,0.03459119496855346,3,0.588917889626622,False
donor_1,Endothelial cells,CD82,2,2,80,0.10397200424323837,0.023255813953488372,4,0.42306882951862324,False
donor_1,Bipolar cells,CD82,2,2,764,0.041235682746679464,0.005897533327000411,5,0.1677906678919629,False
donor_1,Pericytes,CD82,2,2,34,0.036075036075036065,0.020833333333333332,6,0.14679166183429773,False
donor_1,Rod photoreceptors,CD82,2,2,576,0.03193511910587742,0.002793296089385475,7,0.1299460711467436,False
donor_1,Cone photoreceptors,CD82,2,2,91,0.0,0.0,8,0.0,False
donor_1,Horizontal cells,CD82,2,2,52,0.0,0.0,9,0.0,False
donor_1,Amacrine cells,CD82,2,2,47,0.0,0.0,10,0.0,False
donor_1,Microglia,FPR1,2,2,49,0.4983402701008586,0.13567073170731708,1,1.0,True
donor_1,Müller-enriched glia,FPR1,2,2,520,0.004116235916298814,0.0012690355329949238,2,0.008259890206074923,False
donor_1,Rod photoreceptors,FPR1,2,2,576,0.0,0.0,3,0.0,False
donor_1,Cone photoreceptors,FPR1,2,2,91,0.0,0.0,4,0.0,False
donor_1,Bipolar cells,FPR1,2,2,764,0.0,0.0,5,0.0,False
donor_1,Retinal ganglion cells,FPR1,2,2,177,0.0,0.0,6,0.0,False
donor_1,Horizontal cells,FPR1,2,2,52,0.0,0.0,7,0.0,False
donor_1,Amacrine cells,FPR1,2,2,47,0.0,0.0,8,0.0,False
donor_1,Pericytes,FPR1,2,2,34,0.0,0.0,9,0.0,False
donor_1,Endothelial cells,FPR1,2,2,80,0.0,0.0,10,0.0,False
donor_1,Microglia,NLRP3,2,2,49,0.0879134198922363,0.036585365853658534,1,1.0,True
donor_1,Rod photoreceptors,NLRP3,2,2,576,0.006312533535334406,0.000931098696461825,2,0.0718039810426243,False
donor_1,Retinal ganglion cells,NLRP3,2,2,177,0.0043999637442987466,0.0031446540880503146,3,0.05004882928786292,False
donor_1,Cone photoreceptors,NLRP3,2,2,91,0.0,0.0,4,0.0,False
donor_1,Bipolar cells,NLRP3,2,2,764,0.0,0.0,5,0.0,False
donor_1,Horizontal cells,NLRP3,2,2,52,0.0,0.0,6,0.0,False
donor_1,Amacrine cells,NLRP3,2,2,47,0.0,0.0,7,0.0,False
donor_1,Pericytes,NLRP3,2,2,34,0.0,0.0,8,0.0,False
donor_1,Endothelial cells,NLRP3,2,2,80,0.0,0.0,9,0.0,False
donor_1,Müller-enriched glia,NLRP3,2,2,520,0.0,0.0,10,0.0,False
donor_1,Microglia,P2RX4,2,2,49,0.6750575303936034,0.2728658536585366,1,1.0,True
donor_1,Endothelial cells,P2RX4,2,2,80,0.21815960556743308,0.011627906976744186,2,0.3231718716480824,False
donor_1,Müller-enriched glia,P2RX4,2,2,520,0.11237323853314962,0.009044396100233663,3,0.16646468408052356,False
donor_1,Horizontal cells,P2RX4,2,2,52,0.1039949831457138,0.03225806451612903,4,0.15405351168377873,False
donor_1,Amacrine cells,P2RX4,2,2,47,0.09948764154879483,0.022222222222222223,5,0.1473765376571489,False
donor_1,Bipolar cells,P2RX4,2,2,764,0.07134731109237291,0.01260251416991229,6,0.10569071209497165,False
donor_1,Rod photoreceptors,P2RX4,2,2,576,0.02996946939032687,0.004655493482309125,7,0.044395430079644735,False
donor_1,Retinal ganglion cells,P2RX4,2,2,177,0.00879685145130422,0.006289308176100629,8,0.013031261863229747,False
donor_1,Cone photoreceptors,P2RX4,2,2,91,0.0,0.0,9,0.0,False
donor_1,Pericytes,P2RX4,2,2,34,0.0,0.0,10,0.0,False
donor_1,Cone photoreceptors,SLC31A1,2,2,91,0.830361668047674,0.037220026350461136,1,1.0,True
donor_1,Endothelial cells,SLC31A1,2,2,80,0.6931684362415379,0.08328095537397863,2,0.834778943820105,False
