cell_type,gene_symbol,n_donors,donor_mean_expm1_expression,donor_sd_expm1_expression,donor_min_expm1_expression,donor_max_expm1_expression,donor_mean_detection_fraction,donor_sd_detection_fraction,donor_min_detection_fraction,donor_max_detection_fraction
Müller-enriched glia,CD82,3,0.34673597341025547,0.1035982745673019,0.24575671141156852,0.4527683265068501,0.09872267400259967,0.04365672683843386,0.05998710821045846,0.1460292606546949
Endothelial cells,CD82,3,0.2934875243672412,0.16699239914979153,0.10397200424323837,0.4190570045678491,0.06570519174977035,0.037474778796988926,0.023255813953488372,0.09420289855072464
Microglia,CD82,3,0.11539719406420625,0.06820355585730713,0.05301102629346905,0.1882159861686777,0.04607603160155574,0.01710711402579087,0.027777777777777776,0.061669829222011384
Retinal ganglion cells,CD82,3,0.09994513536565859,0.042815797044987516,0.0594170003921522,0.14473052384607968,0.025053283204959337,0.017501783810782857,0.0048543689320388345,0.03571428571428571
Amacrine cells,CD82,3,0.0708842814105972,0.12277517686116443,0.0,0.2126528442317916,0.022222222222222223,0.03849001794597505,0.0,0.06666666666666667
Horizontal cells,CD82,3,0.041442875140905784,0.07178116535578202,0.0,0.12432862542271736,0.020833333333333332,0.036084391824351615,0.0,0.0625
Bipolar cells,CD82,3,0.040142453375288045,0.003649918078979315,0.036070850868421114,0.04312082651076355,0.009128390133048891,0.003115265728834016,0.005897533327000411,0.012113509663793317
Cone photoreceptors,CD82,3,0.016410620769142306,0.028424028955899523,0.0,0.04923186230742692,0.0018416206261510127,0.003189780492760363,0.0,0.0055248618784530384
Rod photoreceptors,CD82,3,0.013565736930801611,0.016500582226129868,0.0,0.03193511910587742,0.0012287177440808725,0.001426614004674993,0.0,0.002793296089385475
Pericytes,CD82,3,0.012025012025012022,0.020827931788947533,0.0,0.036075036075036065,0.006944444444444444,0.012028130608117204,0.0,0.020833333333333332
Microglia,FPR1,3,0.5312199198137476,0.047770642050743314,0.4983402701008586,0.5860163701475269,0.19701136706910302,0.058579968455362355,0.13567073170731708,0.2523719165085389
Müller-enriched glia,FPR1,3,0.0013720786387662713,0.002376509914323126,0.0,0.004116235916298814,0.00042301184433164127,0.0007326780065858194,0.0,0.0012690355329949238
Amacrine cells,FPR1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bipolar cells,FPR1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cone photoreceptors,FPR1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Endothelial cells,FPR1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horizontal cells,FPR1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pericytes,FPR1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retinal ganglion cells,FPR1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rod photoreceptors,FPR1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
