omitted_donor,n_donors_retained,gene_symbol,dominant_cell_type,dominant_mean_expm1_expression,dominant_detection_fraction,second_mean_expm1_expression,dominance_margin,n_cell_types_compared,dominance_identifiable,full_cohort_dominant_cell_type,matches_full_cohort_dominance
donor_1,2,CD82,Müller-enriched glia,0.39722560440959886,0.11809045689867026,0.38824528442924255,0.00898031998035631,10,True,Müller-enriched glia,True
donor_2,2,CD82,Müller-enriched glia,0.34926251895920934,0.10300818443257669,0.26151450440554375,0.0877480145536656,10,True,Müller-enriched glia,True
donor_3,2,CD82,Müller-enriched glia,0.2937197968619581,0.07506938067655204,0.23070278426693716,0.06301701259502093,10,True,Müller-enriched glia,True
donor_1,2,FPR1,Microglia,0.5476597446701921,0.22768168474999595,0.0,0.5476597446701921,10,True,Microglia,True
donor_2,2,FPR1,Microglia,0.5421783201241928,0.194021324107928,0.002058117958149407,0.5401202021660434,10,True,Microglia,True
donor_3,2,FPR1,Microglia,0.5038216946468579,0.16933109234938504,0.002058117958149407,0.5017635766887085,10,True,Microglia,True
donor_1,2,NLRP3,Microglia,0.1571341736262959,0.07949772133832854,0.0176390461847171,0.1394951274415788,10,True,Microglia,True
donor_2,2,NLRP3,Microglia,0.08900773705920273,0.05719211366686722,0.005433483297472342,0.08357425376173039,10,True,Microglia,True
donor_3,2,NLRP3,Microglia,0.15603985645932944,0.058890973525119863,0.01220556288724476,0.1438342935720847,10,True,Microglia,True
donor_1,2,P2RX4,Amacrine cells,0.6743574676737147,0.04722222222222222,0.5191029900332226,0.15525447764049216,10,True,Microglia,False
donor_2,2,P2RX4,Microglia,0.6342421016277535,0.23842533669644098,0.20245287947575957,0.43178922215199395,10,True,Microglia,True
donor_3,2,P2RX4,Amacrine cells,0.57139222974675,0.044444444444444446,0.5711004816060795,0.00029174814067045585,10,True,Microglia,False
donor_1,2,SLC31A1,Pericytes,0.43594483329012595,0.08681860902255638,0.2355495415605936,0.20039529172953235,10,True,Endothelial cells,False
donor_2,2,SLC31A1,Endothelial cells,0.42026908980817157,0.05251004290438062,0.415180834023837,0.005088255784334583,10,True,Endothelial cells,True
donor_3,2,SLC31A1,Endothelial cells,0.5084488879939599,0.06155469337326382,0.45239943997657733,0.0560494480173826,10,True,Endothelial cells,True
donor_1,2,TLR2,Microglia,0.39629818230822883,0.14081277672359266,0.0010664423440743987,0.39523173996415445,10,True,Microglia,True
donor_2,2,TLR2,Microglia,0.3966356522336643,0.1425912320081455,0.0,0.3966356522336643,10,True,Microglia,True
donor_3,2,TLR2,Microglia,0.25728402960544294,0.08511178861788618,0.0010664423440743987,0.25621758726136856,10,True,Microglia,True
