geo_accession,donor,region,gene_symbol,dominant_cell_type,dominant_mean_expm1_expression,dominant_detection_fraction,second_mean_expm1_expression,dominance_margin,n_cell_types_compared,dominance_identifiable
GSM3745992,donor_1,fovea,CD82,Retinal ganglion cells,0.28946104769215936,0.06918238993710692,0.27289208277691956,0.016568964915239792,10,True
GSM3745992,donor_1,fovea,FPR1,Microglia,0.2923292797006548,0.125,0.0,0.2923292797006548,10,True
GSM3745992,donor_1,fovea,NLRP3,Retinal ganglion cells,0.008799927488597493,0.006289308176100629,0.0,0.008799927488597493,10,True
GSM3745992,donor_1,fovea,P2RX4,Microglia,0.9787995209245095,0.375,0.43631921113486616,0.5424803097896433,10,True
GSM3745992,donor_1,fovea,SLC31A1,Endothelial cells,1.3491607692822134,0.13953488372093023,1.3099292638197535,0.039231505462459904,10,True
GSM3745992,donor_1,fovea,TLR2,Microglia,0.4132231404958677,0.125,0.0,0.4132231404958677,10,True
GSM3745993,donor_2,fovea,CD82,Müller-enriched glia,0.35921562807104085,0.10104529616724739,0.24865725084543472,0.11055837722560613,9,True
GSM3745993,donor_2,fovea,FPR1,Microglia,0.30394957245911775,0.1282051282051282,0.0,0.30394957245911775,9,True
GSM3745993,donor_2,fovea,NLRP3,Microglia,0.28678829125567773,0.05128205128205128,0.04882225154897904,0.2379660397066987,9,True
GSM3745993,donor_2,fovea,P2RX4,Pericytes,0.71285999429712,0.03571428571428571,0.10583764410708278,0.6070223501900373,9,True
GSM3745993,donor_2,fovea,SLC31A1,Retinal ganglion cells,0.32984140494728903,0.019417475728155338,0.17188046489107348,0.15796094005621555,9,True
GSM3745993,donor_2,fovea,TLR2,Bipolar cells,0.004265769376297595,0.0017152658662092624,0.0,0.004265769376297595,9,True
GSM3745994,donor_3,fovea,CD82,Müller-enriched glia,0.7444988960023134,0.25654450261780104,0.3310126315665069,0.41348626443580655,9,True
GSM3745994,donor_3,fovea,FPR1,Microglia,1.0613063777477498,0.3870967741935484,0.0,1.0613063777477498,9,True
GSM3745994,donor_3,fovea,NLRP3,Microglia,0.1319960037057683,0.0967741935483871,0.0,0.1319960037057683,9,True
GSM3745994,donor_3,fovea,P2RX4,Microglia,0.7745212962104487,0.2903225806451613,0.25080256821829844,0.5237187279921502,9,True
GSM3745994,donor_3,fovea,SLC31A1,Microglia,0.3224693863417423,0.12903225806451613,0.31882130720281276,0.003648079138929561,9,True
GSM3745994,donor_3,fovea,TLR2,Microglia,0.45179498615007574,0.16129032258064516,0.0,0.45179498615007574,9,True
GSM3745995,donor_1,peripheral,CD82,Microglia,0.3764319723373554,0.0975609756097561,0.21862134004621744,0.15781063229113798,10,True
GSM3745995,donor_1,peripheral,FPR1,Microglia,0.7043512605010623,0.14634146341463414,0.008232471832597628,0.6961187886684647,10,True
GSM3745995,donor_1,peripheral,NLRP3,Microglia,0.1758268397844726,0.07317073170731707,0.012625067070668811,0.1632017727138038,10,True
GSM3745995,donor_1,peripheral,P2RX4,Microglia,0.37131553986269733,0.17073170731707318,0.19897528309758966,0.17234025676510767,10,True
GSM3745995,donor_1,peripheral,SLC31A1,Cone photoreceptors,0.35079407227559445,0.028985507246376812,0.221010884556658,0.12978318771893646,10,True
GSM3745995,donor_1,peripheral,TLR2,Microglia,0.10201985856588908,0.04878048780487805,0.0,0.10201985856588908,10,True
GSM3745996,donor_2,peripheral,CD82,Endothelial cells,0.6299235868680629,0.11764705882352941,0.32415013655365454,0.3057734503144084,10,True
GSM3745996,donor_2,peripheral,FPR1,Microglia,0.7146566659265968,0.2777777777777778,0.0,0.7146566659265968,10,True
GSM3745996,donor_2,peripheral,NLRP3,Microglia,0.1615442947971675,0.1111111111111111,0.0,0.1615442947971675,10,True
GSM3745996,donor_2,peripheral,P2RX4,Horizontal cells,2.0764119601328903,0.125,1.043296817944705,1.0331151421881852,10,True
GSM3745996,donor_2,peripheral,SLC31A1,Pericytes,1.2297097884899162,0.05263157894736842,0.49980925827849504,0.7299005302114212,10,True
GSM3745996,donor_2,peripheral,TLR2,Microglia,0.5138931193600149,0.16666666666666666,0.0,0.5138931193600149,10,True
GSM3745997,donor_3,peripheral,CD82,Endothelial cells,0.5071013775691913,0.13043478260869565,0.16103775701138676,0.3460636205578045,10,True
GSM3745997,donor_3,peripheral,FPR1,Microglia,0.11072636254730402,0.11764705882352941,0.0,0.11072636254730402,10,True
GSM3745997,donor_3,peripheral,NLRP3,Microglia,0.048208104746569995,0.058823529411764705,0.02173393318988937,0.026474171556680626,10,True
GSM3745997,donor_3,peripheral,P2RX4,Microglia,0.4123320495133588,0.11764705882352941,0.3054181174027243,0.10691393211063449,10,True
GSM3745997,donor_3,peripheral,SLC31A1,Amacrine cells,0.39870283943535534,0.08333333333333333,0.13853485536961102,0.2601679840657443,10,True
GSM3745997,donor_3,peripheral,TLR2,Microglia,0.6195046237228248,0.23529411764705882,0.0,0.6195046237228248,10,True
