omitted_sample,omitted_group,n_pdr,n_control,log2_normalized_mean_difference,direction_positive,mann_whitney_p_two_sided
none,none,8,9,-0.3582589813600858,False,0.2765939942410531
PDR_S5,PDR,7,9,-0.5290902275223104,False,0.4078671328671329
PDR_S6,PDR,7,9,-0.44857084603942177,False,0.2522727272727273
PDR_S7,PDR,7,9,-0.42877089367231846,False,0.2522727272727273
PDR_S8,PDR,7,9,-0.45684633089692284,False,0.29912587412587416
PDR_S9,PDR,7,9,-0.47167310447538213,False,0.29912587412587416
PDR_S10,PDR,7,9,0.586328730451724,True,0.09073426573426574
PDR_S11,PDR,7,9,-0.5555697626596743,False,0.46975524475524477
PDR_S12,PDR,7,9,-0.5618794160663807,False,0.46975524475524477
MP_S13,control,8,8,-0.39428287426888886,False,0.3822843822843822
MH_S17,control,8,8,-0.41507065156233125,False,0.3822843822843822
MP_S14,control,8,8,-0.32211282645547,False,0.2786324786324786
MP_S15,control,8,8,-0.35311946480185163,False,0.3822843822843822
MP_S16,control,8,8,-0.3744732886847242,False,0.3822843822843822
MH_S18,control,8,8,-0.2973809976879629,False,0.19487179487179485
MH_S19,control,8,8,-0.5477973260417812,False,0.3822843822843822
MH_S20,control,8,8,-0.2852812808242007,False,0.19487179487179485
MH_S21,control,8,8,-0.23481212191356526,False,0.1605283605283605
