sample_id,diagnosis,common_expressed_gene_ids,spearman_log1p_gene_counts,all_regions_total_gene_counts,primary_assembly_total_gene_counts,total_count_ratio_primary_over_all,all_regions_p2rx4_count,primary_assembly_p2rx4_count,p2rx4_count_difference_primary_minus_all,all_regions_normalized_p2rx4,primary_assembly_normalized_p2rx4
PDR_S5,PDR,44164,0.9860682529335357,27201431,30663322,1.1272687087675646,4658,4658,0,3366.7665018136186,3360.478236434771
PDR_S6,PDR,44164,0.9861733999371125,27513573,30057405,1.0924573482331794,4126,4126,0,2277.6138322096117,2276.235032211363
PDR_S7,PDR,44164,0.984175316863299,21348027,23648815,1.1077752056431258,2074,2074,0,2068.893841453468,2079.22983307455
PDR_S8,PDR,44164,0.9866811880526158,28659206,31687585,1.1056686287819697,3835,3835,0,2370.9684801039193,2369.314936640456
PDR_S9,PDR,44164,0.9872685822078909,36282598,40009112,1.1027080254837318,5433,5433,0,2547.895547820646,2557.1377226371446
PDR_S10,PDR,44164,0.9819636461300265,16355649,18237570,1.1150624472315345,6,6,0,14.028651865168728,13.793524237817369
PDR_S11,PDR,44164,0.9868897541447179,31826512,35349491,1.110693217026107,7152,7153,1,3828.4809484001657,3831.4818616851444
PDR_S12,PDR,44164,0.9850914953136021,25326546,29085204,1.1484078405322227,5226,5226,0,3947.532143788641,3943.556273022003
MP_S13,control,44164,0.987202943109984,25601568,28689974,1.1206334705749272,2520,2520,0,1542.3242803581456,1547.2590654554767
MH_S17,control,44164,0.9866152269915485,24946564,27605207,1.1065735144928175,2228,2228,0,1374.2930006308952,1374.7897758998897
MP_S14,control,44164,0.9843612944200788,23579850,26451015,1.1217634972232648,3077,3077,0,2301.819944721545,2303.8418894068877
MP_S15,control,44164,0.9849560140402424,12930647,14861658,1.1493359922361193,1468,1468,0,1938.0479850425495,1945.6367990490621
MP_S16,control,44164,0.9861566084510425,29447722,33292466,1.1305616780815848,3264,3264,0,1721.5166339429375,1719.9461499172985
MH_S18,control,44164,0.9843459193832177,13959967,15373296,1.1012415717028556,1945,1945,0,2640.3147746780933,2659.4585291104495
MH_S19,control,44164,0.9835600021762124,14999970,16549375,1.103293873254413,630,630,0,657.8060075324516,660.7660471925603
MH_S20,control,44164,0.9848906517548321,10483078,11582369,1.1048633807742345,1383,1383,0,2823.614488210377,2842.4159564645774
MH_S21,control,44164,0.9844701241260275,11093397,12343545,1.1126929830420744,2558,2558,0,3735.810098204956,3756.4095817546045
