normalization_method,gene_symbol,severity_rho,severity_pvalue,primary_delta_case_minus_control,direction_positive,apparent_weighted_score_auc
current_log2cpm,MSR1,0.462500376817866,0.0015085048438201465,0.5346925089973134,1,1.0
current_log2cpm,NMI,0.459887380338669,0.0016310854956080867,0.3673451300763616,1,1.0
current_log2cpm,FZD5,0.44462748090015863,0.002532387851418516,0.5701474543775698,1,1.0
current_log2cpm,TIMP1,0.4900936196381861,0.000626178657382015,0.6935625010547386,1,1.0
current_log2cpm,CMKLR1,0.447763076675195,0.00231865791778052,0.6397212001961908,1,1.0
current_log2cpm,LYN,0.4937518147090619,0.0005528870110693695,0.5763180310008149,1,1.0
current_log2cpm,TLR3,0.47535631949551516,0.0010142492911029422,0.6815752787250902,1,1.0
median_ratio_log2norm,MSR1,0.46061901935284416,0.0015959275133630157,0.5461623128453423,1,1.0
median_ratio_log2norm,NMI,0.45967834062033325,0.0016412523639075527,0.9923764465929397,1,1.0
median_ratio_log2norm,FZD5,0.4892574607648431,0.000644075127889332,0.546220180106328,1,1.0
median_ratio_log2norm,TIMP1,0.510161432598419,0.000308529141471503,0.7438394713908671,1,1.0
median_ratio_log2norm,CMKLR1,0.4497489539993847,0.002191445894890398,1.0716441601674571,1,1.0
median_ratio_log2norm,LYN,0.5234354547127397,0.00018643284029118412,0.577649809275055,1,1.0
median_ratio_log2norm,TLR3,0.4811049117497485,0.0008433327499988152,0.9784256404587346,1,1.0
upper_quartile_log2norm,MSR1,0.4563337051269611,0.0018115046853481864,0.5420094710348522,1,1.0
upper_quartile_log2norm,NMI,0.4556020661127859,0.0018507073890172698,0.9877681734597292,1,1.0
upper_quartile_log2norm,FZD5,0.4422235241392974,0.0027074544840426373,0.5420808901382781,1,1.0
upper_quartile_log2norm,TIMP1,0.4716981244246394,0.0011380122878819066,0.7397123820470553,1,1.0
upper_quartile_log2norm,CMKLR1,0.44985347385855257,0.0021849196727745657,1.0674153268055928,1,1.0
upper_quartile_log2norm,LYN,0.49939588710412736,0.00045450149836101517,0.5735248614591306,1,1.0
upper_quartile_log2norm,TLR3,0.47744671667887273,0.000948910594175123,0.9742342152326504,1,1.0
