omitted_stage,n_samples_remaining,gene_symbol,severity_rho,pvalue,padj_within_selected_genes,direction_positive,positive_and_fdr_lt_0_1
healthy control,29,MSR1,0.282886250181715,0.1253946272602926,0.1253946272602926,1,0
healthy control,29,NMI,0.31762666687069757,0.0817588856312721,0.1220683404295401,1,0
healthy control,29,FZD5,0.3126637502008429,0.08719167173538578,0.1220683404295401,1,0
healthy control,29,TIMP1,0.5161433336648835,0.0017403841753447225,0.012182689227413057,1,1
healthy control,29,CMKLR1,0.48636583364575564,0.0038233697394307598,0.013381794088007659,1,1
healthy control,29,LYN,0.4218479169376452,0.015621872702095807,0.036451036304890216,1,1
healthy control,29,TLR3,0.28784916685156964,0.11833261496934888,0.1253946272602926,1,0
diabetic,29,MSR1,0.5707354170332847,0.00030428427804296554,0.0005087423383176137,1,1
diabetic,29,NMI,0.5260691670045928,0.0013078410628080128,0.0015110528613262453,1,1
diabetic,29,FZD5,0.56577250036343,0.00036338738451258124,0.0005087423383176137,1,1
diabetic,29,TIMP1,0.580661250372994,0.00021057665765988887,0.0004913455345397407,1,1
diabetic,29,CMKLR1,0.5211062503347382,0.0015110528613262453,0.0015110528613262453,1,1
diabetic,29,LYN,0.6104387503921218,6.211075104323172e-05,0.00040966045766688275,1,1
diabetic,29,TLR3,0.5955500003825579,0.00011704584504768079,0.00040966045766688275,1,1
NPDR,30,MSR1,0.5282666263129673,0.0009941194532800957,0.0011598060288267782,1,1
NPDR,30,NMI,0.5424166252320647,0.0006344153250013029,0.0008881814550018241,1,1
NPDR,30,FZD5,0.5801499556829909,0.000163920619236535,0.0003824814448852483,1,1
NPDR,30,TIMP1,0.556566624151162,0.00039283333579698265,0.0006874583376447196,1,1
NPDR,30,CMKLR1,0.4480832991047491,0.007997210566370594,0.007997210566370594,1,1
NPDR,30,LYN,0.6084499535211856,4.9704192311761375e-05,0.0003479293461823296,1,1
NPDR,30,TLR3,0.5801499556829909,0.000163920619236535,0.0003824814448852483,1,1
NPDR/PDR + DME,29,MSR1,0.2920284650998683,0.11260684521799735,0.356159458652695,1,0
NPDR/PDR + DME,29,NMI,0.2653854387669644,0.15263976799401213,0.356159458652695,1,0
NPDR/PDR + DME,29,FZD5,0.17370208344491272,0.3593967708207675,0.4192962326242287,1,0
NPDR/PDR + DME,29,TIMP1,0.13765563605333686,0.4701995125317333,0.47019951253173325,1,0
NPDR/PDR + DME,29,CMKLR1,0.20243475890196597,0.2827685765758883,0.4192962326242287,1,0
NPDR/PDR + DME,29,LYN,0.17605293870958072,0.3527268355533364,0.4192962326242287,1,0
NPDR/PDR + DME,29,TLR3,0.28471469316534564,0.12275937518305557,0.356159458652695,1,0
